,,,,,,,,,,,,,,,,,,,
,"2.53. Labour expenditure for per centner of milk, person-hour",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2005,2008,2009,2010,2011,2012,2013,"2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
,Republic of Azerbaijan ,"47,4","47,4","48,0","47,8","47,9","47,9","47,9","48,0","47,6","44,3","43,4","37,4","34,5","26,3","33,2","34,4","34,9","34,5"
, Baku city,"46,3","47,4","48,1","48,0","48,0","48,3","48,0","47,9","48,9","29,9","17,7","25,7","78,2","26.9","26.8","20.7","18.7","34.6"
,Nakhchivan Autonomous Republic,"41,2","48,0","49,9","47,7","48,0","45,6","47,0","48,0","48,0","48,0","48,0","48,0","48,0","48","48","48.3","48.5","48.3"
,Absheron-Khizi economic region,"47,9","48,0","48,0","48,0","48,0","48,0","48,0","44,0","48,0","30,7","29,9","30,2","28,7","25.9","19","16.4","19,2","21.9"
,Sumgayit city,"49,7",-,"48,0",-,"47,9","47,9","47,9",-,"48,0","25,0","13,2","7,2","5,3","11.5","11.5","11.5","11,5","46.8"
,Absheron district ,"47,9","48,1","48,0","48,0","48,0","48,0","48,0","48,0","48,0","30,0","31,3","30,7","30,1","26.2","21.1","17.1","20,5","11.4"
,Khizi district ,-,-,-,-,-,-,-,-,"48,0","48,0","48,0","47,8","48,0","48","48","48","48,0",-
,Daghlig Shirvan economic region ,"44,5","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","43,2","41,9","41.4","38.8","38.7","34,8","33.6"
,Aghsu district ,"51,5","46,0","48,0","48,0",-,-,-,-,-,-,-,-,-,"19.2","32.3","32.3","3,8","3"
,Ismayilli district ,"44,5","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0","50.1","50.6","53.4","48,0","48"
,Shamakhi district  ,-,-,-,-,-,-,-,-,-,-,-,"41,0","41,0","41","38","38.1","37,3","37,4"
,Ganja-Dashkasan economic region,"48.2","47,8","47,9","46,9","47,9","47,9","47,7","47,6","47,8","46,1","43,9","22,7","22,3","21,7","26,9","26,4","43,6","42.1"
,Ganja city,"46,2","48,7","48,0","48,0","48,0",-,-,"44,0",-,-,-,-,-,"48,0","48,0","48,0","48,0","48,0"
,Naftalan city,-,-,-,-,"48,0","48,0",-,"48,1",-,-,-,-,-,-,-,-,-,-
,Dashkasan district ,-,"47,4","48,0","48,0","48,0","48,0","48,0","48,1","48,1","45,0","48,0","47,1","47,7","26.7","28.6","32.7","33,5","26.9"
,Goranboy district ,"50,0","47,7","48,0","48,0","48,0","48,7","48,0","47,9","48,0","45,8","45,2","14,7","15,0","15","16.1","14.3","41,9","41.8"
