region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,ln_milk,ln_cows,ln_fodder,post_conflict_district,post_2020,treatment,efficiency_sfa,efficiency_dea,super_efficiency_dea
Absheron district,district,2005,18.8,12.66,10120,10120,1128,47.9,25201,6.6,16.5,31.57,26,18.8,6.6,10.134638955251866,9.222268942841456,7.028201432058005,FALSE,FALSE,0,0.8977398234922558,1,1.4832173232207828
Absheron district,district,2008,19.34,10.2,10481,10481,796,48.1,30846,11,9.7,43.6,40,19.34,11,10.33676236128356,9.257319373170178,6.679599185844383,FALSE,FALSE,0,0.9119764428649578,1,1.7187993008694467
Absheron district,district,2009,20.23,10.21,10535,10535,521,48,32280,32.7,6.8,39.29,38.12,20.23,32.7,10.382203122383885,9.26245832623829,6.255750041753367,FALSE,FALSE,0,0.9148183006383801,1,1.995464629098666
Absheron district,district,2010,8.35,10.41,11740,11740,522,48,32931,7.7,9.3,37.1,40.2,8.35,7.7,10.402169742355426,9.370757093382087,6.257667587882639,FALSE,FALSE,0,0.9072580871314982,1,1.8741299664137545
Absheron district,district,2011,35.73,20.13,11972,11972,338,48,40807,7.6,9.5,49.3,39.2,35.73,7.6,10.616608914303491,9.390325868972589,5.823045895483019,FALSE,FALSE,0,0.9214318626950708,1,2.486033506971719
Absheron district,district,2012,38,20.12,12201,12201,351,48,40800,18.5,9.4,53.64,39.2,38,18.5,10.616437360392252,9.409273194575334,5.860786223465865,FALSE,FALSE,0,0.9201045124040486,1,1.9802208595972837
Absheron district,district,2013,49.57,20.13,12133,12133,382,48,40955,2.6,9.5,58.1,39.2,49.57,2.6,10.620229181949702,9.403684292051873,5.945420608606575,FALSE,FALSE,0,0.920784287810971,1,3.4280844063348077
Absheron district,district,2014,46.46,20.75,12153,12153,463,48,40637,NA,9.5,59.3,39.21,46.46,9.5,10.612434260629977,9.4053313318708,6.137727054086234,FALSE,FALSE,0,0.920227729648931,1,1.7782370452398542
Absheron district,district,2015,46.92,20.65,13398,13398,101,48,42861,4.7,9.5,57.27,39.23,46.92,4.7,10.665717600533268,9.502860721068213,4.61512051684126,FALSE,FALSE,0,0.916078593796005,1,1.7193120048981865
Absheron district,district,2016,29.51,20.64,13461,13461,114,30,49389,1.1,9.5,42.47,39.21,29.51,1.1,10.807483006316131,9.507551894644093,4.736198448394496,FALSE,FALSE,0,0.925135245659956,1,33.241544468947055
