year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
2000,,,958917.0,818427.0,138954.0,,1031114.0,,,,
2001,,,1001696.0,859022.0,151136.0,,1073664.0,,,,
2002,,,1042308.0,897736.0,165138.0,,1119832.0,,,,
2003,,,1075714.0,930903.0,189970.0,,1167785.0,,,,
2004,,,1116982.0,969081.0,206265.0,,1213703.0,,,,
2005,18.03,11.94,1144722.0,999723.0,213861.0,47.4,1251774.0,17.6,62.5,24.45,22.24
2006,,,1170486.0,1028052.0,239489.0,,1299293.0,,,,
2007,,,1203209.0,1060624.0,303483.0,,1341006.0,,,,
2008,22.84,22.67,1228402.0,1091373.0,348600.0,47.4,1381349.0,20.3,46.4,35.11,38.67
2009,25.11,22.34,1249190.0,1115491.0,361437.0,48.0,1432808.0,25.4,49.1,37.74,40.3
2010,28.04,25.25,1261446.0,1130137.0,384446.0,47.8,1535753.0,20.8,62.0,39.7,45.4
2011,33.77,27.7,1272020.0,1143728.0,394306.0,47.9,1597452.0,14.2,56.4,43.2,45.8
2012,33.8,27.5,1289180.0,1162606.0,392686.0,47.9,1695588.0,25.7,47.7,46.39,45.5
2013,36.45,27.45,1301565.0,1177666.0,396418.0,47.9,1796706.0,18.9,55.9,52.3,48.9
2014,35.21,28.3,1299231.0,1179619.0,402905.0,48.0,1855840.0,16.0,52.9,47.4,50.66
2015,33.2,29.26,1302963.0,1187638.0,428611.0,47.6,1924542.0,23.9,52.3,49.66,51.09
2016,34.67,31.25,1299033.0,1196221.0,394190.0,44.3,2009913.0,20.7,55.4,49.84,53.36
2017,48.69,29.4,1285784.0,1191657.0,356082.0,43.4,2024143.0,19.8,53.4,52.59,50.58
2018,48.82,30.97,1279096.0,1194530.0,346205.0,37.4,2080437.0,20.2,57.6,52.59,54.11
2019,45.88,29.41,1278208.0,1201198.0,366922.0,34.5,2150817.0,11.2,55.1,62.05,55.53
2020,31.87,35.65,1280513.0,1211324.0,376210.0,26.3,2192497.0,45.3,69.4,56.05,62.06
2021,40.29,39.03,1287996.0,1227215.0,379206.3,33.2,2223427.0,25.4,52.2,58.72,64.95
2022,47.59,40.36,1288828.0,1231862.0,372745.3,34.4,2264678.0,23.0,48.0,61.55,69.34
2023,52.07,45.22,1235123.0,1184055.0,346017.7,34.9,2283991.0,19.0,44.5,76.06,73.75
2024,51.03,55.9,1224201.0,1178597.0,355624.0,34.5,2298511.0,41.3,38.0,78.11,83.3
