region,year,variable,value,region_type
Republic of Azerbaijan,2000,milk_production_tons,1031114.0,national_total
Republic of Azerbaijan,2001,milk_production_tons,1073664.0,national_total
Republic of Azerbaijan,2002,milk_production_tons,1119832.0,national_total
Republic of Azerbaijan,2003,milk_production_tons,1167785.0,national_total
Republic of Azerbaijan,2004,milk_production_tons,1213703.0,national_total
Republic of Azerbaijan,2005,milk_production_tons,1251774.0,national_total
Republic of Azerbaijan,2006,milk_production_tons,1299293.0,national_total
Republic of Azerbaijan,2007,milk_production_tons,1341006.0,national_total
Republic of Azerbaijan,2008,milk_production_tons,1381349.0,national_total
Republic of Azerbaijan,2009,milk_production_tons,1432808.0,national_total
Republic of Azerbaijan,2010,milk_production_tons,1535753.0,national_total
Republic of Azerbaijan,2011,milk_production_tons,1597452.0,national_total
Republic of Azerbaijan,2012,milk_production_tons,1695588.0,national_total
Republic of Azerbaijan,2013,milk_production_tons,1796706.0,national_total
Republic of Azerbaijan,2014,milk_production_tons,1855840.0,national_total
Republic of Azerbaijan,2015,milk_production_tons,1924542.0,national_total
Republic of Azerbaijan,2016,milk_production_tons,2009913.0,national_total
Republic of Azerbaijan,2017,milk_production_tons,2024143.0,national_total
Republic of Azerbaijan,2018,milk_production_tons,2080437.0,national_total
Republic of Azerbaijan,2019,milk_production_tons,2150817.0,national_total
Republic of Azerbaijan,2020,milk_production_tons,2192497.0,national_total
Republic of Azerbaijan,2021,milk_production_tons,2223427.0,national_total
Republic of Azerbaijan,2022,milk_production_tons,2264678.0,national_total
Republic of Azerbaijan,2023,milk_production_tons,2283991.0,national_total
Republic of Azerbaijan,2024,milk_production_tons,2298511.0,national_total
Baku city,2000,milk_production_tons,2941.0,city
Baku city,2001,milk_production_tons,3060.0,city
Baku city,2002,milk_production_tons,3199.0,city
Baku city,2003,milk_production_tons,3538.0,city
Baku city,2004,milk_production_tons,3755.0,city
Baku city,2005,milk_production_tons,3722.0,city
Baku city,2006,milk_production_tons,3833.0,city
Baku city,2007,milk_production_tons,3833.0,city
Baku city,2008,milk_production_tons,2980.0,city
Baku city,2009,milk_production_tons,3110.0,city
Baku city,2010,milk_production_tons,3799.0,city
Baku city,2011,milk_production_tons,3450.0,city
Baku city,2012,milk_production_tons,4061.0,city
Baku city,2013,milk_production_tons,5082.0,city
Baku city,2014,milk_production_tons,3910.0,city
Baku city,2015,milk_production_tons,4058.0,city
Baku city,2016,milk_production_tons,4245.0,city
Baku city,2017,milk_production_tons,4669.0,city
Baku city,2018,milk_production_tons,5293.0,city
Baku city,2019,milk_production_tons,4969.0,city
Baku city,2020,milk_production_tons,5144.0,city
Baku city,2021,milk_production_tons,5143.0,city
Baku city,2022,milk_production_tons,5081.0,city
Baku city,2023,milk_production_tons,6126.0,city
Baku city,2024,milk_production_tons,5882.0,city
Nakhchivan Autonomous Republic,2000,milk_production_tons,54248.0,economic_region
Nakhchivan Autonomous Republic,2001,milk_production_tons,55268.0,economic_region
Nakhchivan Autonomous Republic,2002,milk_production_tons,58863.0,economic_region
Nakhchivan Autonomous Republic,2003,milk_production_tons,58527.0,economic_region
Nakhchivan Autonomous Republic,2004,milk_production_tons,62691.0,economic_region
Nakhchivan Autonomous Republic,2005,milk_production_tons,64818.0,economic_region
Nakhchivan Autonomous Republic,2006,milk_production_tons,67865.0,economic_region
Nakhchivan Autonomous Republic,2007,milk_production_tons,70254.0,economic_region
Nakhchivan Autonomous Republic,2008,milk_production_tons,72042.0,economic_region
Nakhchivan Autonomous Republic,2009,milk_production_tons,73929.0,economic_region
Nakhchivan Autonomous Republic,2010,milk_production_tons,75965.0,economic_region
Nakhchivan Autonomous Republic,2011,milk_production_tons,77120.0,economic_region
Nakhchivan Autonomous Republic,2012,milk_production_tons,78417.0,economic_region
Nakhchivan Autonomous Republic,2013,milk_production_tons,78613.0,economic_region
Nakhchivan Autonomous Republic,2014,milk_production_tons,78929.0,economic_region
Nakhchivan Autonomous Republic,2015,milk_production_tons,80244.0,economic_region
Nakhchivan Autonomous Republic,2016,milk_production_tons,81372.0,economic_region
Nakhchivan Autonomous Republic,2017,milk_production_tons,82857.0,economic_region
Nakhchivan Autonomous Republic,2018,milk_production_tons,83967.0,economic_region
Nakhchivan Autonomous Republic,2019,milk_production_tons,85638.0,economic_region
Nakhchivan Autonomous Republic,2020,milk_production_tons,87334.0,economic_region
Nakhchivan Autonomous Republic,2021,milk_production_tons,88565.0,economic_region
Nakhchivan Autonomous Republic,2022,milk_production_tons,89853.0,economic_region
Nakhchivan Autonomous Republic,2023,milk_production_tons,62234.0,economic_region
Nakhchivan Autonomous Republic,2024,milk_production_tons,63246.0,economic_region
Nakhchivan city,2000,milk_production_tons,620.0,city
Nakhchivan city,2001,milk_production_tons,457.0,city
Nakhchivan city,2002,milk_production_tons,458.0,city
Nakhchivan city,2003,milk_production_tons,527.0,city
Nakhchivan city,2004,milk_production_tons,636.0,city
Nakhchivan city,2005,milk_production_tons,640.0,city
Nakhchivan city,2006,milk_production_tons,673.0,city
Nakhchivan city,2007,milk_production_tons,694.0,city
Nakhchivan city,2008,milk_production_tons,710.0,city
Nakhchivan city,2009,milk_production_tons,1250.0,city
Nakhchivan city,2010,milk_production_tons,1289.0,city
Nakhchivan city,2011,milk_production_tons,1300.0,city
Nakhchivan city,2012,milk_production_tons,1334.0,city
Nakhchivan city,2013,milk_production_tons,1336.0,city
Nakhchivan city,2014,milk_production_tons,1342.0,city
Nakhchivan city,2015,milk_production_tons,1360.0,city
Nakhchivan city,2016,milk_production_tons,1378.0,city
Nakhchivan city,2017,milk_production_tons,1396.0,city
Nakhchivan city,2018,milk_production_tons,1415.0,city
Nakhchivan city,2019,milk_production_tons,1442.0,city
Nakhchivan city,2020,milk_production_tons,1472.0,city
Nakhchivan city,2021,milk_production_tons,1492.0,city
Nakhchivan city,2022,milk_production_tons,1513.0,city
Nakhchivan city,2023,milk_production_tons,972.0,city
Nakhchivan city,2024,milk_production_tons,1295.0,city
Babak district,2000,milk_production_tons,11680.0,district
Babak district,2001,milk_production_tons,10640.0,district
Babak district,2002,milk_production_tons,11190.0,district
Babak district,2003,milk_production_tons,9810.0,district
Babak district,2004,milk_production_tons,10352.0,district
Babak district,2005,milk_production_tons,10594.0,district
Babak district,2006,milk_production_tons,11128.0,district
Babak district,2007,milk_production_tons,11573.0,district
Babak district,2008,milk_production_tons,11872.0,district
Babak district,2009,milk_production_tons,11398.0,district
Babak district,2010,milk_production_tons,11795.0,district
Babak district,2011,milk_production_tons,12011.0,district
Babak district,2012,milk_production_tons,12261.0,district
Babak district,2013,milk_production_tons,12268.0,district
Babak district,2014,milk_production_tons,12298.0,district
Babak district,2015,milk_production_tons,12504.0,district
Babak district,2016,milk_production_tons,12667.0,district
Babak district,2017,milk_production_tons,12874.0,district
Babak district,2018,milk_production_tons,13062.0,district
Babak district,2019,milk_production_tons,13336.0,district
Babak district,2020,milk_production_tons,13621.0,district
Babak district,2021,milk_production_tons,13852.0,district
Babak district,2022,milk_production_tons,14087.0,district
