region,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
Absheron-Khizi economic region,2000,,,13370.0,13332.0,970.0,,15419.0,,,,
Absheron-Khizi economic region,2001,,,13662.0,13613.0,925.0,,16748.0,,,,
Absheron-Khizi economic region,2002,,,14404.0,14370.0,834.0,,18965.0,,,,
Absheron-Khizi economic region,2003,,,14576.0,14513.0,1151.0,,23986.0,,,,
Absheron-Khizi economic region,2004,,,15247.0,15199.0,1317.0,,25351.0,,,,
Absheron-Khizi economic region,2005,18.28,14.7,15046.0,14966.0,1128.0,47.9,29945.0,8.7,26.9666666666667,30.15,30.3066666666667
Absheron-Khizi economic region,2006,,,15007.0,14856.0,1003.0,,35037.0,,,,
Absheron-Khizi economic region,2007,,,15797.0,15645.0,868.0,,35085.0,,,,
Absheron-Khizi economic region,2008,19.6,27.17,16035.0,16016.0,982.0,48.0,36444.0,11.1,24.6666666666667,43.4,38.6666666666667
Absheron-Khizi economic region,2009,20.56,13.11,16388.0,16347.0,521.0,48.0,38457.0,31.2,35.9,39.34,45.24
Absheron-Khizi economic region,2010,11.85,24.79,17799.0,17763.0,891.0,48.0,42678.0,6.9,38.4,41.9,48.2
Absheron-Khizi economic region,2011,36.65,30.74,18330.0,18299.0,514.0,48.0,51641.0,8.5,36.6,53.0,47.0
Absheron-Khizi economic region,2012,38.36,26.35,19206.0,19180.0,852.0,48.0,53580.0,19.7,6.2,59.29,36.3
Absheron-Khizi economic region,2013,68.93,18.86,18562.0,18547.0,568.0,48.0,53918.0,7.8,29.8,62.0,47.6
Absheron-Khizi economic region,2014,46.46,20.75,19185.0,19133.0,501.0,44.0,52802.0,5.6,9.5,62.06,39.21
Absheron-Khizi economic region,2015,46.97,20.65,19382.0,19351.0,214.0,48.0,56062.0,16.7,9.5,68.07,39.23
Absheron-Khizi economic region,2016,67.0,20.64,19623.0,19613.0,373.0,30.7,61280.0,2.2,9.5,55.6,39.21
Absheron-Khizi economic region,2017,34.02,21.69,19245.0,19235.0,547.0,29.9,59924.0,5.0,9.4,61.82,39.15
Absheron-Khizi economic region,2018,34.55,20.92,19806.0,19790.0,432.0,30.2,60813.0,20.5,9.5,80.02,39.1
Absheron-Khizi economic region,2019,27.73,23.46,19682.0,19633.0,432.0,28.7,58225.0,4.8,9.7,59.02,40.0
Absheron-Khizi economic region,2020,21.38,45.35,20313.0,20284.0,562.3,25.9,58775.0,6.5,9.8,60.77,40.04
Absheron-Khizi economic region,2021,65.75,40.94,19903.0,19883.0,538.3,19.0,60773.0,9.1,10.2,106.77,48.35
Absheron-Khizi economic region,2022,83.18,43.36,20129.0,20101.0,755.8,16.4,61407.0,22.6,8.6,104.05,49.02
Absheron-Khizi economic region,2023,96.62,43.36,17125.0,17112.0,484.1,19.2,64628.0,30.8,8.6,75.62,49.02
Absheron-Khizi economic region,2024,77.1,43.36,17182.0,17163.0,255.1,21.9,52044.0,19.7,8.6,90.94,49.46
Central Aran economic region,2000,,,138903.0,97571.0,30165.0,,132409.0,,,,
Central Aran economic region,2001,,,143096.0,100196.0,34220.0,,137249.0,,,,
Central Aran economic region,2002,,,148458.0,104113.0,37581.0,,143254.0,,,,
Central Aran economic region,2003,,,154163.0,108365.0,41314.0,,147353.0,,,,
Central Aran economic region,2004,,,165348.0,116039.0,47586.0,,139522.0,,,,
Central Aran economic region,2005,17.58,12.81,167589.0,117900.0,51939.0,46.7,143723.0,,56.0,31.08,24.1
Central Aran economic region,2006,,,169102.0,119280.0,54205.0,,148154.0,,,,
Central Aran economic region,2007,,,172085.0,120844.0,60131.0,,152078.0,,,,
Central Aran economic region,2008,22.77,16.79,174863.0,127000.0,67226.0,48.5,158858.0,,58.6,39.71,32.92
Central Aran economic region,2009,23.281,21.06,178743.0,132124.0,71007.0,48.3,162161.0,,64.4,48.62,36.06
Central Aran economic region,2010,32.36,39.45,175795.0,130167.0,78305.0,49.5,179060.0,,66.8,49.74,38.28
Central Aran economic region,2011,32.25,35.61,177997.0,132376.0,77747.0,48.2,184501.0,,59.4,59.87,44.64
Central Aran economic region,2012,31.32,30.73,179467.0,133877.0,75861.0,47.9,199101.0,,50.8,56.62,44.66
Central Aran economic region,2013,29.86,24.36,181168.0,136021.0,76572.0,48.0,213453.0,,79.2,48.1,58.84
Central Aran economic region,2014,27.24,26.26,181474.0,136838.0,83306.0,48.0,216967.0,55.2,67.4,40.41,44.94
Central Aran economic region,2015,26.52,26.5,180247.0,136761.0,86687.0,48.1,218835.0,40.5,67.7,50.47,45.21
Central Aran economic region,2016,23.81,26.61,174532.0,139778.0,75657.0,48.0,232229.0,70.5,95.5,38.81,53.0
Central Aran economic region,2017,52.6,26.55,173316.0,140458.0,70881.0,48.1,224910.0,2.5,91.2,61.12,51.08
Central Aran economic region,2018,49.6,26.84,169235.0,138907.0,68294.0,48.5,248453.0,,105.9,48.37,55.52
Central Aran economic region,2019,77.91,20.9,169491.0,140742.0,71483.0,48.1,257379.0,,98.2,76.7,54.0
Central Aran economic region,2020,35.99,28.33,168656.0,143999.0,69880.8,48.1,263376.0,73.7,129.6,55.4,65.02
Central Aran economic region,2021,35.67,28.46,170785.0,150991.0,68643.5,48.4,267249.0,74.3,129.9,59.23,65.12
Central Aran economic region,2022,53.47,29.67,169862.0,151824.0,66814.0,48.1,268814.0,,122.5,65.23,67.84
Central Aran economic region,2023,67.71,30.11,164765.0,148155.0,64408.5,48.3,268912.0,1.3,119.2,74.08,66.28
Central Aran economic region,2024,59.06,36.18,158321.0,143449.0,64612.8,47.7,261803.0,19.8,127.1,71.83,70.03
Daghlig Shirvan economic region,2000,,,60279.0,52459.0,2831.0,,61169.0,,,,
Daghlig Shirvan economic region,2001,,,69289.0,61812.0,4581.0,,64550.0,,,,
Daghlig Shirvan economic region,2002,,,70342.0,62827.0,2427.0,,67268.0,,,,
Daghlig Shirvan economic region,2003,,,71011.0,63635.0,2470.0,,74520.0,,,,
Daghlig Shirvan economic region,2004,,,71801.0,64729.0,2624.0,,77682.0,,,,
Daghlig Shirvan economic region,2005,20.02,9.66,72265.0,65579.0,4055.0,44.5,78841.0,-6.3,28.9,19.78,18.66
Daghlig Shirvan economic region,2006,,,71208.0,65151.0,4616.0,,79692.0,,,,
Daghlig Shirvan economic region,2007,,,71528.0,65590.0,2172.0,,80584.0,,,,
Daghlig Shirvan economic region,2008,31.11,21.86,72333.0,66521.0,2056.0,48.0,81532.0,-13.4,38.9,25.11,34.11
Daghlig Shirvan economic region,2009,26.59,21.28,72656.0,67015.0,2266.0,48.0,82310.0,3.8,58.6,28.03,43.01
Daghlig Shirvan economic region,2010,30.62,24.8,72922.0,67407.0,2321.0,48.0,93574.0,7.5,41.8,27.6,52.2
Daghlig Shirvan economic region,2011,40.48,24.78,73307.0,67992.0,2538.0,48.0,94854.0,-17.1,35.9,26.0,52.3
Daghlig Shirvan economic region,2012,34.39,25.85,73646.0,68431.0,2293.0,48.0,98803.0,-4.1,57.0,29.56,64.3
Daghlig Shirvan economic region,2013,33.39,26.51,74044.0,69067.0,2513.0,48.0,101012.0,,62.7,21.1,68.7
Daghlig Shirvan economic region,2014,43.81,29.18,74226.0,69471.0,2613.0,48.0,102622.0,,105.5,27.51,69.85
Daghlig Shirvan economic region,2015,73.42,33.1,74415.0,69836.0,3858.0,48.0,105475.0,7.9,87.2,39.92,63.46
Daghlig Shirvan economic region,2016,63.46,37.66,74616.0,70284.0,2985.0,48.0,107562.0,,65.2,38.07,75.19
Daghlig Shirvan economic region,2017,63.35,38.81,67630.0,64034.0,4065.0,48.0,105367.0,,59.5,44.02,75.89
Daghlig Shirvan economic region,2018,47.76,45.36,68278.0,64936.0,2943.0,43.2,107786.0,,33.1,48.63,76.83
Daghlig Shirvan economic region,2019,43.38,46.32,69376.0,66371.0,2931.0,41.9,116986.0,,34.7,54.27,77.06
Daghlig Shirvan economic region,2020,39.94,52.0,68676.0,65871.0,2628.1,41.4,122024.0,43.3,31.8,65.0,78.88
Daghlig Shirvan economic region,2021,41.8,51.1,66557.0,63830.0,2227.2,38.8,128002.0,18.1,26.6,68.92,75.41
Daghlig Shirvan economic region,2022,43.06,56.91,65042.0,62314.0,2203.3,38.7,134455.0,39.3,22.3,73.94,76.78
Daghlig Shirvan economic region,2023,49.39,60.45,62245.0,59724.0,2026.7,34.8,136169.0,9.5,16.9,74.43,76.78
Daghlig Shirvan economic region,2024,54.23,71.67,59585.0,56836.0,2320.3,33.6,137065.0,63.9,23.3,89.0,97.94
Eastern Zangazur economic region,2000,,,17209.0,14620.0,1.0,,14110.0,,,,
Eastern Zangazur economic region,2001,,,17107.0,14288.0,33.0,,16483.0,,,,
Eastern Zangazur economic region,2002,,,19372.0,16592.0,140.0,,19543.0,,,,
Eastern Zangazur economic region,2003,,,20196.0,17455.0,320.0,,20033.0,,,,
Eastern Zangazur economic region,2004,,,21363.0,18578.0,475.0,,20311.0,,,,
Eastern Zangazur economic region,2005,13.76,26.23,22088.0,19372.0,529.0,47.6,14215.0,,34.2,22.45,35.93
Eastern Zangazur economic region,2006,,,24583.0,21708.0,779.0,,18743.0,,,,
Eastern Zangazur economic region,2007,,,26359.0,23494.0,1594.0,,20737.0,,,,
Eastern Zangazur economic region,2008,25.0,38.11,27960.0,25266.0,1779.0,44.4,23309.0,,18.4,30.0,45.8
Eastern Zangazur economic region,2009,34.4,26.7,29928.0,26980.0,2991.0,48.0,25227.0,,5.9,32.42,34.18
Eastern Zangazur economic region,2010,36.53,28.98,32240.0,29389.0,2713.0,48.0,32321.0,,17.6,42.4,31.95
Eastern Zangazur economic region,2011,,39.24,33104.0,29982.0,2545.0,,33683.0,,4.6,,46.1
Eastern Zangazur economic region,2012,58.19,32.27,34187.0,31117.0,2839.0,,35914.0,,3.2,68.75,32.3
Eastern Zangazur economic region,2013,53.13,23.28,34526.0,31713.0,2793.0,48.0,37668.0,,48.9,52.2,38.7
Eastern Zangazur economic region,2014,60.61,39.05,34996.0,32617.0,3025.0,45.5,46296.0,29.4,41.5,69.39,52.24
Eastern Zangazur economic region,2015,60.0,33.93,35268.0,33163.0,3367.0,47.5,45547.0,27.7,43.8,76.25,51.78
Eastern Zangazur economic region,2016,27.62,35.47,34790.0,32907.0,3224.0,47.7,46386.0,40.9,44.7,36.19,52.33
Eastern Zangazur economic region,2017,52.54,30.41,32657.0,30983.0,2751.0,29.7,46242.0,23.4,61.4,95.08,58.1
Eastern Zangazur economic region,2018,18.52,36.03,32242.0,30819.0,3042.0,20.2,42063.0,0.3,94.4,112.72,70.0
Eastern Zangazur economic region,2019,33.02,39.88,32416.0,30915.0,2417.0,47.0,42044.0,141.3,40.0,79.98,70.0
Eastern Zangazur economic region,2020,33.15,50.0,32766.0,31606.0,2442.9,46.9,42210.0,141.5,,79.98,
Eastern Zangazur economic region,2021,35.19,,41589.0,40325.0,2330.7,46.9,43943.0,141.5,,85.02,
Eastern Zangazur economic region,2022,36.74,,43363.0,42035.0,2588.5,46.9,50749.0,141.8,,88.78,
Eastern Zangazur economic region,2023,36.62,,44385.0,43203.0,2418.0,46.9,57374.0,145.8,,89.98,
Eastern Zangazur economic region,2024,36.69,,44454.0,43154.0,5253.5,46.9,57391.0,145.5,,90.04,
Ganja-Dashkasan economic region,2000,,,40493.0,36927.0,3618.0,,42984.0,,,,
Ganja-Dashkasan economic region,2001,,,42824.0,39469.0,2888.0,,46160.0,,,,
Ganja-Dashkasan economic region,2002,,,42892.0,39405.0,3908.0,,47750.0,,,,
Ganja-Dashkasan economic region,2003,,,45955.0,42617.0,4934.0,,48113.0,,,,
Ganja-Dashkasan economic region,2004,,,48363.0,44987.0,6357.0,,53761.0,,,,
Ganja-Dashkasan economic region,2005,16.61,12.0,49523.0,46421.0,7084.0,48.2,60319.0,,53.5,22.86,21.86
Ganja-Dashkasan economic region,2006,,,49128.0,46331.0,9953.0,,62021.0,,,,
Ganja-Dashkasan economic region,2007,,,51291.0,48600.0,16530.0,,68295.0,,,,
Ganja-Dashkasan economic region,2008,21.98,21.57,53038.0,50151.0,14329.0,47.8,70583.0,,23.3,38.36,36.06
Ganja-Dashkasan economic region,2009,26.46,27.2,53553.0,50891.0,19403.0,47.9,73901.0,,31.5,44.97,44.76
Ganja-Dashkasan economic region,2010,28.37,28.0,54788.0,52125.0,20124.0,46.9,79728.0,,56.0,49.34,53.3
Ganja-Dashkasan economic region,2011,33.32,32.02,55245.0,53020.0,20090.0,47.9,84529.0,,46.2,45.64,44.0
Ganja-Dashkasan economic region,2012,27.34,31.33,56276.0,54296.0,22201.0,47.9,90057.0,,42.9,41.83,45.63
Ganja-Dashkasan economic region,2013,29.88,30.25,57017.0,55060.0,23672.0,47.7,94737.0,,39.1,43.63,48.03
Ganja-Dashkasan economic region,2014,35.17,33.46,55972.0,54097.0,23353.0,47.6,95803.0,16.1,40.0,41.51,48.23
Ganja-Dashkasan economic region,2015,32.07,35.04,55020.0,53261.0,22718.0,47.8,99997.0,37.5,42.1,42.41,47.93
Ganja-Dashkasan economic region,2016,37.74,35.53,57202.0,55647.0,22780.0,46.1,112390.0,25.6,42.2,45.88,50.0
Ganja-Dashkasan economic region,2017,35.13,35.4,55975.0,54506.0,20988.0,43.9,115440.0,31.9,44.2,46.97,50.0
Ganja-Dashkasan economic region,2018,20.79,35.26,54678.0,53053.0,21523.0,22.7,113205.0,17.0,42.4,55.39,50.58
Ganja-Dashkasan economic region,2019,19.45,35.66,54313.0,52805.0,22093.0,22.3,120384.0,12.2,42.6,54.98,50.83
Ganja-Dashkasan economic region,2020,20.86,35.24,55128.0,53641.0,24281.0,21.7,120461.0,12.7,42.6,54.64,50.26
Ganja-Dashkasan economic region,2021,26.07,45.97,52828.0,51338.0,24553.0,26.9,125756.0,15.5,22.3,45.02,62.63
Ganja-Dashkasan economic region,2022,25.83,52.66,51924.0,50603.0,23686.5,26.4,126165.0,15.9,27.0,51.61,75.11
Ganja-Dashkasan economic region,2023,52.15,60.3,49327.0,48011.0,23050.1,43.6,126972.0,13.3,21.5,64.79,72.87
Ganja-Dashkasan economic region,2024,51.34,70.0,48806.0,47601.0,23021.9,42.1,129289.0,22.6,19.1,68.31,83.4
Gazakh-Tovuz economic region,2000,,,69364.0,62859.0,8709.0,,77585.0,,,,
