year,vrs_bc
2000,0.6622192350247731
2001,0.6871001904236633
2002,0.6344514492686468
2003,0.6261899442548462
2004,0.6071062755532829
2005,0.4883822682355759
2006,0.3714159321610331
2007,0.3664658576377629
2008,0.3728863005549982
2009,0.3547020611747475
2010,0.4225572994445366
2011,0.31022535444717775
2012,0.34248073399524137
2013,0.3648205261032718
2014,0.3936622843103907
2015,0.40572197172667285
2016,0.34513652114521715
2017,0.3452103691693711
2018,0.3160968802223142
2019,0.35632130901882847
2020,0.3676336582127595
2021,0.3633524912009232
2022,0.38540933381164916
2023,0.30257263613175717
2024,0.4644308194452302
