region,year,cum_TFP
Absheron-Khizi economic region,2000,1.0
Absheron-Khizi economic region,2001,1.0641593138769339
Absheron-Khizi economic region,2002,1.2274991503209354
Absheron-Khizi economic region,2003,1.2868121213230053
Absheron-Khizi economic region,2004,1.278426479231244
Absheron-Khizi economic region,2005,1.352011490442327
Absheron-Khizi economic region,2006,1.350476588452156
Absheron-Khizi economic region,2007,1.2335125466599768
Absheron-Khizi economic region,2008,1.2204305166311544
Absheron-Khizi economic region,2009,1.1813965499625743
Absheron-Khizi economic region,2010,0.7920708434925788
Absheron-Khizi economic region,2011,1.1328586024470244
Absheron-Khizi economic region,2012,1.147692042860029
Absheron-Khizi economic region,2013,1.702512387292869
Absheron-Khizi economic region,2014,1.787148819601146
Absheron-Khizi economic region,2015,0.8328094976679696
Absheron-Khizi economic region,2016,1.3822653631268134
Absheron-Khizi economic region,2017,1.4499714442451967
Absheron-Khizi economic region,2018,1.5055783805118723
Absheron-Khizi economic region,2019,2.0347150291098752
Absheron-Khizi economic region,2020,3.4340814082386992
Absheron-Khizi economic region,2021,3.4492418059013725
Absheron-Khizi economic region,2022,4.111716469714994
Absheron-Khizi economic region,2023,3.998736476364468
Absheron-Khizi economic region,2024,3.7871531133558674
Central Aran economic region,2000,1.0
Central Aran economic region,2001,0.9932207924945327
Central Aran economic region,2002,1.0065307165809256
Central Aran economic region,2003,0.8015371538412016
Central Aran economic region,2004,0.6241931684154881
Central Aran economic region,2005,0.5153794794980775
Central Aran economic region,2006,0.442667734400265
Central Aran economic region,2007,0.4818637847373183
Central Aran economic region,2008,0.47351109794431073
Central Aran economic region,2009,0.439946098701426
Central Aran economic region,2010,0.5436128984043165
Central Aran economic region,2011,0.45793289239218893
Central Aran economic region,2012,0.5459204531401413
Central Aran economic region,2013,0.5737605270780978
Central Aran economic region,2014,0.6140311815100835
Central Aran economic region,2015,0.5966159488755312
Central Aran economic region,2016,0.5997417872705478
Central Aran economic region,2017,0.574147816800167
Central Aran economic region,2018,0.7383359115788043
Central Aran economic region,2019,0.8130645687727478
Central Aran economic region,2020,0.8272545416431618
Central Aran economic region,2021,0.7248638841474377
Central Aran economic region,2022,0.7240316706341114
Central Aran economic region,2023,0.5946203246427031
Central Aran economic region,2024,0.7720487926819756
Daghlig Shirvan economic region,2000,1.0
Daghlig Shirvan economic region,2001,0.7606265807141123
Daghlig Shirvan economic region,2002,0.8450776590052033
Daghlig Shirvan economic region,2003,0.8580660905949781
Daghlig Shirvan economic region,2004,0.9269892283039848
Daghlig Shirvan economic region,2005,0.5181782749973715
Daghlig Shirvan economic region,2006,0.3116337061473194
Daghlig Shirvan economic region,2007,0.5205665439256894
Daghlig Shirvan economic region,2008,0.5703774695839654
Daghlig Shirvan economic region,2009,0.3317695724598994
Daghlig Shirvan economic region,2010,0.7162953097400819
Daghlig Shirvan economic region,2011,0.31786867931335144
Daghlig Shirvan economic region,2012,0.502069141116666
Daghlig Shirvan economic region,2013,0.38283339030734925
Daghlig Shirvan economic region,2014,0.43446871305714424
Daghlig Shirvan economic region,2015,0.48710725184333026
Daghlig Shirvan economic region,2016,0.4377781419841979
Daghlig Shirvan economic region,2017,0.6126245733016276
Daghlig Shirvan economic region,2018,0.5867300091981044
Daghlig Shirvan economic region,2019,0.7352934252219169
Daghlig Shirvan economic region,2020,0.8026364303546334
Daghlig Shirvan economic region,2021,0.780512601288736
Daghlig Shirvan economic region,2022,0.9588733496766401
Daghlig Shirvan economic region,2023,0.7421214236271062
Daghlig Shirvan economic region,2024,1.3765668535519895
Eastern Zangazur economic region,2000,1.0
Eastern Zangazur economic region,2001,0.17800375830718881
Eastern Zangazur economic region,2002,0.18642924813539927
Eastern Zangazur economic region,2003,0.15202076999978115
Eastern Zangazur economic region,2004,0.13962545466247855
Eastern Zangazur economic region,2005,0.04836625764392716
Eastern Zangazur economic region,2006,0.0473968552409105
Eastern Zangazur economic region,2007,0.029579808129031104
Eastern Zangazur economic region,2008,0.03112778981578278
Eastern Zangazur economic region,2009,0.03885718684448923
Eastern Zangazur economic region,2010,0.04421075268224667
Eastern Zangazur economic region,2011,0.03608821272325803
Eastern Zangazur economic region,2012,0.04187595363208877
Eastern Zangazur economic region,2013,0.04498106788313339
Eastern Zangazur economic region,2014,0.07040579655030044
Eastern Zangazur economic region,2015,0.06724770861725904
Eastern Zangazur economic region,2016,0.06441971983039761
Eastern Zangazur economic region,2017,0.07148991213855037
Eastern Zangazur economic region,2018,0.06425296971786017
Eastern Zangazur economic region,2019,0.06527580048573745
Eastern Zangazur economic region,2020,0.06424707961641103
Eastern Zangazur economic region,2021,0.03758446771941428
Eastern Zangazur economic region,2022,0.043843062242059395
Eastern Zangazur economic region,2023,0.0395845181140645
Eastern Zangazur economic region,2024,0.06261670709600844
Ganja-Dashkasan economic region,2000,1.0
Ganja-Dashkasan economic region,2001,0.9627771367746418
Ganja-Dashkasan economic region,2002,1.0371655710282064
Ganja-Dashkasan economic region,2003,0.6918226705493571
Ganja-Dashkasan economic region,2004,0.7706543590795933
Ganja-Dashkasan economic region,2005,0.7204895246460893
Ganja-Dashkasan economic region,2006,0.6608563964355015
Ganja-Dashkasan economic region,2007,0.8168649779247537
Ganja-Dashkasan economic region,2008,0.8016145097548742
Ganja-Dashkasan economic region,2009,0.8394739159441283
Ganja-Dashkasan economic region,2010,0.9196408681841647
Ganja-Dashkasan economic region,2011,0.809218455176623
Ganja-Dashkasan economic region,2012,0.9269858715731355
Ganja-Dashkasan economic region,2013,0.951263187394056
Ganja-Dashkasan economic region,2014,1.0510927967212211
Ganja-Dashkasan economic region,2015,1.1299849705629168
Ganja-Dashkasan economic region,2016,1.2336107360465258
Ganja-Dashkasan economic region,2017,1.3902853034747413
Ganja-Dashkasan economic region,2018,1.4553200079123678
Ganja-Dashkasan economic region,2019,1.753912296613236
Ganja-Dashkasan economic region,2020,1.7481492865856014
Ganja-Dashkasan economic region,2021,1.9599576007396404
Ganja-Dashkasan economic region,2022,2.023141492738858
Ganja-Dashkasan economic region,2023,1.7856444266537463
Ganja-Dashkasan economic region,2024,2.4121864530349693
Gazakh-Tovuz economic region,2000,1.0
Gazakh-Tovuz economic region,2001,0.9838162931282542
Gazakh-Tovuz economic region,2002,0.9083403167975612
Gazakh-Tovuz economic region,2003,0.6890047456755306
Gazakh-Tovuz economic region,2004,0.7595316418765168
Gazakh-Tovuz economic region,2005,0.4833364789214879
Gazakh-Tovuz economic region,2006,0.47294031652239826
Gazakh-Tovuz economic region,2007,0.5752556062699267
Gazakh-Tovuz economic region,2008,0.608690194696738
Gazakh-Tovuz economic region,2009,0.5975644425563387
Gazakh-Tovuz economic region,2010,0.8407811354921223
Gazakh-Tovuz economic region,2011,0.754599541198574
Gazakh-Tovuz economic region,2012,0.8282564947082456
Gazakh-Tovuz economic region,2013,0.8427512187045971
Gazakh-Tovuz economic region,2014,0.9431044401035708
Gazakh-Tovuz economic region,2015,0.9563046369062135
Gazakh-Tovuz economic region,2016,0.9863422638348109
Gazakh-Tovuz economic region,2017,1.0019825697761344
Gazakh-Tovuz economic region,2018,1.2109218104411115
Gazakh-Tovuz economic region,2019,1.200133566524922
Gazakh-Tovuz economic region,2020,1.2635543525751545
Gazakh-Tovuz economic region,2021,1.2013485323545041
Gazakh-Tovuz economic region,2022,1.245088376774131
Gazakh-Tovuz economic region,2023,0.9958850274876734
Gazakh-Tovuz economic region,2024,1.362949799842801
Guba-Khachmaz economic region,2000,1.0
Guba-Khachmaz economic region,2001,1.0028870893967285
Guba-Khachmaz economic region,2002,1.004512212714579
Guba-Khachmaz economic region,2003,0.9629606170302042
Guba-Khachmaz economic region,2004,0.96921856750246
Guba-Khachmaz economic region,2005,0.74380103423886
Guba-Khachmaz economic region,2006,0.47373775760917414
Guba-Khachmaz economic region,2007,0.45616558443369565
Guba-Khachmaz economic region,2008,0.4578384522304701
Guba-Khachmaz economic region,2009,0.46446729846697654
Guba-Khachmaz economic region,2010,0.47874964400412057
Guba-Khachmaz economic region,2011,0.377317667176138
