event_time,coef,se_clustered
-10,-0.15806142121078906,0.07582771037375732
-9,-0.11388912348233428,0.06520897207124281
-8,-0.12463935976536822,0.06693016042067958
-7,-0.048989433277097844,0.1030099139189067
-6,-0.08366048922190789,0.08313786851288336
-5,-0.14915989099673904,0.06848701567125938
-4,-0.020254597693309572,0.02664327440117288
-3,-0.05621403562703789,0.05681573951447072
-2,-0.006145966867412958,0.04787231974432211
-1,0.0,0.0
0,0.03143205304242955,0.053156003911504476
1,0.05464195703445881,0.08928397410413753
2,0.026011621337370654,0.09573061014195872
3,0.07013150650588831,0.1071837490763587
4,-0.09924301436264851,0.12599545926772593
