region,dea_mean,sfa_mean
Absheron district,0.3607635545429101,0.9018125762141961
Agdash district,0.5153001463651059,0.831888584046637
Aghdam district,0.5303747518022062,0.8305094300103372
Aghdara district,0.5904011800837508,0.1834167419948403
Aghjabadi district,0.3416329228039123,0.8399424446521551
Aghstafa district,0.505543472382412,0.814066802901332
Aghsu district,0.47224240863269995,0.847124232110255
Astara district,0.3422287451149402,0.757540443904769
Babak district,0.5220760839648704,0.831367370362986
Balakan district,0.39368964675254614,0.7591031352153099
Barda district,0.48977571106508305,0.8226510435220261
Beylagan district,0.4260477062322792,0.7731966658669162
Bilasuvar district,0.4127592830550239,0.7650032861010542
Dashkasan district,0.4699522753899107,0.835844621069363
Fuzuli district,0.39708299345503373,0.7311199610258542
Gabala district,0.39556308273764534,0.7825519023606902
Gadabay district,0.19158273218821195,0.8413840613753627
Gakh district,0.45329360097957055,0.7714902011113495
Gazakh district,0.5506245639376819,0.835569376368613
Gobustan district,0.3322592531080623,0.8061476184657174
Goranboy district,0.45474367996040216,0.7817190807764256
Goychay district,0.3893540022188053,0.7541943042506861
Goygol district,0.5776907073058389,0.8518173097030801
Guba district,0.37081996096072567,0.8085938095556939
Gubadli district,0.09439871473314855,0.8674075856982294
Gusar district,0.4615404589461617,0.7997427880808157
Hajigabul district,0.3909512764730043,0.75535763822803
Imishli district,0.37756336191135553,0.748823891962198
Ismayilli district,0.35705964214781466,0.7764925002718682
Jabrayil district,0.4860627426038073,0.8452724241688166
Jalilabad district,0.05150466476230949,0.7999256813754074
Julfa district,0.4526197524591818,0.7977233093914653
Kalbajar district,0.34069839693612963,0.7404144271307159
Kangarli district,0.47271599968489136,0.8199187524304024
Khachmaz district,0.4481376674455387,0.8431765358103143
Khizi district,0.4633245436179367,0.82459440536367
Khojaly district,0.5472692078266266,0.6732587587564727
Khojavand district,0.5261267520647941,0.8155179852613338
Kurdamir district,0.4044727444330679,0.7716448894598567
Lachin district,0.34999390842562134,0.7382203306879266
Lankaran district,0.378654385696465,0.7927041603767936
Lerik district,0.3186423841876603,0.7068402264163717
Masalli district,0.27512083753228755,0.797202863372949
Neftchala district,0.41709533437594426,0.7641892775177318
Oghuz district,0.470468406724905,0.8018927807802815
Ordubad district,0.3883818884259356,0.7855624380791503
Saatli district,0.412569082958464,0.7656209204922635
Sabirabad district,0.19840060082843322,0.8397703946941607
Sadarak district,0.5227899241529765,0.8441065280541621
Salyan district,0.44451876530352297,0.7868569783542828
Samukh district,0.613790027118608,0.8420093144834436
Shabran district,0.3942453747840072,0.7851687510093933
Shahbuz district,0.43065841168211955,0.7942832305077203
Shaki district,0.4800222898068109,0.8376287554905132
Shamakhi district,0.42675917748247827,0.8053625181424339
Shamkir district,0.48390797287671694,0.8193086715947174
Sharur district,0.41679226990581875,0.7792614793048274
Shusha district,0.3616106774943723,0.7210713515644356
Siyazan district,0.5095025124741136,0.8732945349739852
Tartar district,0.435985177142665,0.772998926688689
Tovuz district,0.5484045467251565,0.8414750859842492
Ujar district,0.4976648168574582,0.8297463725095747
Yardimli district,0.028372623522656067,0.8108926101802257
Yevlakh district,0.4561799933189297,0.7990595792344011
Zagatala district,0.4758785894509803,0.8163818057432036
Zangilan district,0.19686327789308267,0.5747216689966699
Zardab district,0.4268311839720366,0.7710568614890846
