region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw_control_frontier,vrs_bc_control_frontier,control_frontier_degenerate_draws,control_frontier_all_draws_degenerate,is_control_unit
Absheron district,district,2000,,,9021.0,9021.0,949.0,,11086.0,,,,,,,0.731138477108059,0.6804737399066474,0,False,True
Agdash district,district,2000,,,17338.0,11480.0,8419.0,,18468.0,,,,,,,0.8325529756614578,0.7768757791670142,0,False,True
Aghdam district,district,2000,,,10977.0,10263.0,560.0,,10994.0,,,,,,,0.7184538390772988,0.6858919438140834,0,False,False
Aghjabadi district,district,2000,,,33519.0,28218.0,12983.0,,40734.0,,,,,,,0.7898932602422718,0.6825454338570676,36,False,True
Aghstafa district,district,2000,,,8824.0,7051.0,703.0,,8940.0,,,,,,,0.761569817793979,0.7032365795980854,0,False,True
Aghsu district,district,2000,,,16817.0,12441.0,124.0,,15115.0,,,,,,,0.9338155174836786,0.9001443487849595,0,False,True
Babak district,district,2000,,,8572.0,7654.0,2179.0,,11680.0,,,,,,,0.7902470109568072,0.7190069120729148,0,False,True
Balakan district,district,2000,,,16126.0,12947.0,6952.0,,14832.0,,,,,,,0.5930349805087368,0.5501067572585231,0,False,True
Barda district,district,2000,,,23960.0,17741.0,7195.0,,30311.0,,,,,,,0.8838353597906822,0.8166307826676049,1,False,True
Beylagan district,district,2000,,,16653.0,14268.0,10851.0,,19818.0,,,,,,,0.718784043687008,0.6702939317260628,0,False,True
Bilasuvar district,district,2000,,,16040.0,12869.0,1332.0,,13314.0,,,,,,,0.6190638135695196,0.5793213715356836,0,False,True
Fuzuli district,district,2000,,,7139.0,6259.0,1554.0,,5926.0,,,,,,,0.4911223452454949,0.4183014836925548,0,False,False
Gabala district,district,2000,,,22651.0,20175.0,308.0,,21280.0,,,,,,,0.8066703002399536,0.7357692834337803,0,False,True
Gadabay district,district,2000,,,16802.0,16220.0,125.0,,13836.0,,,,,,,0.6649410676446238,0.6357948056778743,0,False,True
Gakh district,district,2000,,,17649.0,13356.0,94.0,,16015.0,,,,,,,0.9367339936591833,0.8954925440096165,0,False,True
Gazakh district,district,2000,,,12072.0,9920.0,1113.0,,15696.0,,,,,,,0.9300590998648214,0.8680058960198487,0,False,True
Gobustan district,district,2000,,,9178.0,9029.0,1170.0,,9685.0,,,,,,,0.6042160953836881,0.5469301176705117,0,False,True
Goranboy district,district,2000,,,13592.0,11804.0,1160.0,,11624.0,,,,,,,0.5953976094276018,0.5573885922630798,0,False,True
Goychay district,district,2000,,,20921.0,16810.0,824.0,,15994.0,,,,,,,0.64953779041331,0.6218299903054095,0,False,True
Goygol district,district,2000,,,6300.0,6090.0,627.0,,5692.0,,,,,,,0.5526887978258154,0.4807428332368221,0,False,True
Guba district,district,2000,,,26022.0,25165.0,206.0,,29527.0,,,,,,,1.0000000000000002,0.926236192649381,79,False,True
Gubadli district,district,2000,,,177.0,169.0,1.0,,152.0,,,,,,,22.613515565679574,1.0,200,True,False
Gusar district,district,2000,,,16739.0,16547.0,72.0,,20774.0,,,,,,,0.9999999999999994,0.5764618565696062,3,False,True
Hajigabul district,district,2000,,,10451.0,9170.0,980.0,,10178.0,,,,,,,0.657209130052778,0.6087677502419283,0,False,True
Imishli district,district,2000,,,24223.0,19348.0,12204.0,,21066.0,,,,,,,0.5634061863397385,0.524565590309041,0,False,True
Ismayilli district,district,2000,,,17890.0,16238.0,1537.0,,16369.0,,,,,,,0.6165146185220429,0.5802536648381096,0,False,True
Julfa district,district,2000,,,5086.0,4833.0,1103.0,,7350.0,,,,,,,0.7883494173426469,0.6928379300268618,0,False,True
Khachmaz district,district,2000,,,22898.0,20616.0,1282.0,,26637.0,,,,,,,0.8627955059195437,0.7972505569747912,0,False,True
Khizi district,district,2000,,,3925.0,3889.0,21.0,,4053.0,,,,,,,1.0,0.47355100144852336,0,False,True
Khojavand district,district,2000,,,1310.0,1279.0,144.0,,1177.0,,,,,,,0.6539493980797839,0.0,1,False,False
Kurdamir district,district,2000,,,24598.0,17601.0,10593.0,,20426.0,,,,,,,0.6005298208278512,0.5591217394187561,0,False,True
Lankaran district,district,2000,,,13617.0,13368.0,45.0,,16754.0,,,,,,,0.9999999999999999,0.7734426044731602,0,False,True
Lerik district,district,2000,,,15255.0,14691.0,70.0,,12638.0,,,,,,,0.6830425035954537,0.6116031924057127,0,False,True
Neftchala district,district,2000,,,15536.0,13236.0,5887.0,,19180.0,,,,,,,0.7499083671922169,0.6961984834703386,0,False,True
Oghuz district,district,2000,,,12201.0,9931.0,311.0,,11346.0,,,,,,,0.8141510269394222,0.776058781239194,0,False,True
Ordubad district,district,2000,,,2707.0,2662.0,470.0,,3850.0,,,,,,,0.7515836545506027,0.559989829694,0,False,True
Saatli district,district,2000,,,20452.0,17387.0,3763.0,,22595.0,,,,,,,0.6724116972332694,0.5986191600388651,0,False,True
Sabirabad district,district,2000,,,38594.0,31385.0,4424.0,,49988.0,,,,,,,1.0000000000000124,0.9238402048165089,91,False,True
Sadarak district,district,2000,,,940.0,760.0,96.0,,1450.0,,,,,,,1.0,0.2705892361440474,26,False,True
Salyan district,district,2000,,,24761.0,22183.0,6580.0,,30561.0,,,,,,,0.7126792740201068,0.6376419580089095,2,False,True
Samukh district,district,2000,,,7104.0,6031.0,1652.0,,8464.0,,,,,,,0.7272411870981662,0.652417706347661,0,False,True
Shabran district,district,2000,,,10448.0,8504.0,4.0,,10408.0,,,,,,,1.0,0.9281567318233332,71,False,True
Shahbuz district,district,2000,,,7258.0,7258.0,400.0,,10348.0,,,,,,,0.9542034551268943,0.9098902241699726,0,False,True
Shaki district,district,2000,,,24891.0,18878.0,1092.0,,27874.0,,,,,,,1.0000000000000002,0.8943673648394617,0,False,True
Shamkir district,district,2000,,,17248.0,15907.0,3456.0,,20793.0,,,,,,,0.676409849987066,0.6036936931294078,0,False,True
Sharur district,district,2000,,,18564.0,17929.0,6421.0,,18950.0,,,,,,,0.5469845071123094,0.5042348324002028,0,False,True
Shusha district,district,2000,,,820.0,796.0,102.0,,732.0,,,,,,,0.9547738693467352,0.10300030013449701,17,False,False
Tartar district,district,2000,,,8571.0,7866.0,1171.0,,7328.0,,,,,,,0.5020134822451827,0.4347149519357638,0,False,True
Tovuz district,district,2000,,,14418.0,13761.0,188.0,,18320.0,,,,,,,1.0,0.9453199441685423,0,False,True
Ujar district,district,2000,,,24391.0,16604.0,4281.0,,22003.0,,,,,,,0.6856889289721029,0.6186093159257697,0,False,True
Yevlakh district,district,2000,,,31488.0,19714.0,3485.0,,38114.0,,,,,,,1.0000000000000002,0.684898185920392,11,False,True
Zagatala district,district,2000,,,26659.0,21245.0,4949.0,,29796.0,,,,,,,0.7255300640106482,0.6377917391819582,0,False,True
Zardab district,district,2000,,,19455.0,14884.0,2522.0,,16991.0,,,,,,,0.5964069625265669,0.5259625063311717,0,False,True
Absheron district,district,2001,,,9258.0,9258.0,901.0,,12714.0,,,,,,,0.8207955615395199,0.7618625598706912,0,False,True
Agdash district,district,2001,,,17649.0,11673.0,10592.0,,17781.0,,,,,,,0.8661527478489656,0.8131330853765195,0,False,True
Aghdam district,district,2001,,,11231.0,10689.0,931.0,,12267.0,,,,,,,0.6899103226378298,0.6396290362163592,0,False,False
Aghjabadi district,district,2001,,,34930.0,29174.0,14257.0,,46137.0,,,,,,,1.0000000000000142,0.9181864723899573,72,False,True
Aghstafa district,district,2001,,,8982.0,7160.0,719.0,,9537.0,,,,,,,0.7964540354335984,0.7338262005201912,0,False,True
Babak district,district,2001,,,8630.0,7730.0,2396.0,,10640.0,,,,,,,0.786605598282698,0.7217567914187341,0,False,True
Balakan district,district,2001,,,16277.0,13012.0,287.0,,13045.0,,,,,,,0.637260053517949,0.5728297826623628,0,False,True
Barda district,district,2001,,,26482.0,19923.0,9475.0,,26550.0,,,,,,,0.7558866191614304,0.6983111496125181,0,False,True
Beylagan district,district,2001,,,18329.0,15851.0,17765.0,,23278.0,,,,,,,0.8335702844460586,0.7792774841683003,0,False,True
Bilasuvar district,district,2001,,,16331.0,13085.0,1468.0,,14610.0,,,,,,,0.6621119539765495,0.6135327352340638,0,False,True
Dashkasan district,district,2001,,,13977.0,13415.0,45.0,,18552.0,,,,,,,0.9999999999999996,0.7917768129410567,0,False,True
Fuzuli district,district,2001,,,7361.0,6414.0,1886.0,,7438.0,,,,,,,0.6662551264347311,0.597762976812293,0,False,False
Gabala district,district,2001,,,23873.0,21625.0,597.0,,18030.0,,,,,,,0.5313540474231069,0.4900783398993308,0,False,True
Gadabay district,district,2001,,,17149.0,16583.0,1.0,,16114.0,,,,,,,1.000000000000016,0.935659455126278,80,False,True
Gakh district,district,2001,,,17543.0,13446.0,240.0,,18540.0,,,,,,,0.9169034827310464,0.8644605351530993,0,False,True
Gazakh district,district,2001,,,12213.0,10216.0,1128.0,,12965.0,,,,,,,0.7527923458107361,0.6978021143096309,0,False,True
Gobustan district,district,2001,,,10858.0,10710.0,1221.0,,10328.0,,,,,,,0.5725035848713358,0.5285732254504951,0,False,True
Goranboy district,district,2001,,,13721.0,12147.0,404.0,,13377.0,,,,,,,0.684292257465838,0.6219239730906715,0,False,True
Goychay district,district,2001,,,21306.0,17093.0,595.0,,18485.0,,,,,,,0.6725224582444358,0.6130209264777615,0,False,True
Goygol district,district,2001,,,7375.0,7177.0,781.0,,6603.0,,,,,,,0.5524047259022097,0.49107337210664137,0,False,True
Guba district,district,2001,,,26200.0,25329.0,173.0,,33164.0,,,,,,,1.0,0.9333010014562726,81,False,True
Gusar district,district,2001,,,17081.0,16917.0,100.0,,22194.0,,,,,,,0.9587003564029914,0.6574877781137995,3,False,True
Hajigabul district,district,2001,,,10963.0,9717.0,980.0,,9394.0,,,,,,,0.5781156299869687,0.5321162266811712,0,False,True
Imishli district,district,2001,,,26796.0,21853.0,11983.0,,24627.0,,,,,,,0.639466101585539,0.5935744973371607,0,False,True
Ismayilli district,district,2001,,,24272.0,22767.0,1402.0,,18868.0,,,,,,,0.5071076595215434,0.46788293429544825,0,False,True
Julfa district,district,2001,,,5220.0,4986.0,1165.0,,6421.0,,,,,,,0.7419574515603402,0.6528633247623231,0,False,True
Kalbajar district,district,2001,,,4176.0,3928.0,33.0,,3819.0,,,,,,,0.9355712028559499,0.5536687654292771,1,False,False
Khachmaz district,district,2001,,,23873.0,21420.0,2211.0,,29490.0,,,,,,,0.8231419602016027,0.7349113288512371,0,False,True
Khizi district,district,2001,,,3948.0,3899.0,24.0,,3635.0,,,,,,,0.9816442335045147,0.5816403508129624,1,False,True
Khojavand district,district,2001,,,1383.0,1355.0,126.0,,1395.0,,,,,,,1.0845061103701112,0.4166903939019124,4,False,False
Kurdamir district,district,2001,,,26325.0,18144.0,10579.0,,22224.0,,,,,,,0.695440944563961,0.6476559057534776,0,False,True
Lankaran district,district,2001,,,14230.0,13886.0,56.0,,18118.0,,,,,,,0.9374297304896625,0.8316154168590089,0,False,True
Lerik district,district,2001,,,15552.0,15107.0,291.0,,12594.0,,,,,,,0.5343781275562683,0.4760157400657812,0,False,True
Neftchala district,district,2001,,,16016.0,13761.0,4432.0,,17753.0,,,,,,,0.7335803189616197,0.6782972789440268,0,False,True
Oghuz district,district,2001,,,12217.0,9909.0,313.0,,12938.0,,,,,,,0.811971111130084,0.7362480827883733,0,False,True
Ordubad district,district,2001,,,2801.0,2753.0,458.0,,3445.0,,,,,,,0.7501312805174812,0.5398124755930714,0,False,True
Saatli district,district,2001,,,23678.0,19214.0,3378.0,,22733.0,,,,,,,0.6782999710000759,0.6208328287269996,0,False,True
Sabirabad district,district,2001,,,38884.0,31552.0,4560.0,,44706.0,,,,,,,0.9999999999999881,0.38390970172825667,23,False,True
Sadarak district,district,2001,,,826.0,649.0,176.0,,1016.0,,,,,,,1.0000000000000009,0.16892113173554613,34,False,True
Salyan district,district,2001,,,24947.0,22521.0,6993.0,,28437.0,,,,,,,0.7159756814681631,0.6544887428411121,0,False,True
Samukh district,district,2001,,,7321.0,6340.0,1635.0,,7143.0,,,,,,,0.6477716596757596,0.5780651649411962,0,False,True
Shahbuz district,district,2001,,,7804.0,7804.0,430.0,,9599.0,,,,,,,0.7522941267122791,0.6827727856017589,0,False,True
Shaki district,district,2001,,,25839.0,19588.0,809.0,,31563.0,,,,,,,1.0,0.6271621900613489,1,False,True
Shamakhi district,district,2001,,,17051.0,15776.0,1958.0,,17749.0,,,,,,,0.6632271159071043,0.6126364748401639,0,False,True
Shamkir district,district,2001,,,18784.0,17952.0,5677.0,,24135.0,,,,,,,0.7629559101029705,0.7037966479926444,0,False,True
Sharur district,district,2001,,,19388.0,18744.0,6553.0,,23690.0,,,,,,,0.7173197553620086,0.6631862478587885,0,False,True
Shusha district,district,2001,,,806.0,806.0,239.0,,854.0,,,,,,,0.8052109181141487,0.0,13,False,False
Siyazan district,district,2001,,,4590.0,4131.0,9.0,,6565.0,,,,,,,1.0000000000000004,0.2378123038762594,13,False,True
Tartar district,district,2001,,,8881.0,8188.0,1389.0,,8464.0,,,,,,,0.6015771201632277,0.5452512895001602,0,False,True
Tovuz district,district,2001,,,15056.0,14488.0,190.0,,21179.0,,,,,,,1.0000000000000004,0.9218912873345018,0,False,True
Ujar district,district,2001,,,24985.0,17195.0,5144.0,,23881.0,,,,,,,0.7882079359043584,0.7264807234603756,0,False,True
Yevlakh district,district,2001,,,31954.0,19908.0,3946.0,,35141.0,,,,,,,1.0000000000000022,0.8849191689198788,7,False,True
Zagatala district,district,2001,,,26810.0,21866.0,4573.0,,28244.0,,,,,,,0.7324414902759474,0.6650234800200564,0,False,True
Zardab district,district,2001,,,20019.0,15651.0,3158.0,,19066.0,,,,,,,0.6923398965952163,0.6323189589820197,0,False,True
Absheron district,district,2002,,,9694.0,9694.0,832.0,,14625.0,,,,,,,0.8570539054837817,0.7947526892710488,0,False,True
Agdash district,district,2002,,,20492.0,13498.0,11444.0,,19566.0,,,,,,,0.8151580939820096,0.7648443021275915,0,False,True
Aghdam district,district,2002,,,12629.0,11898.0,2038.0,,12562.0,,,,,,,0.5780903157736678,0.5315873461355503,0,False,False
Aghjabadi district,district,2002,,,35667.0,29874.0,18891.0,,45103.0,,,,,,,0.9999999999999758,0.931379832812258,88,False,True
Aghstafa district,district,2002,,,9521.0,7639.0,662.0,,10303.0,,,,,,,0.7262363355922153,0.6498515509394044,0,False,True
Astara district,district,2002,,,12780.0,12426.0,3.0,,13324.0,,,,,,,0.7309856827267763,0.3523612629655477,0,False,True
Babak district,district,2002,,,8282.0,7184.0,2056.0,,11190.0,,,,,,,0.8449474898104703,0.7856830006335405,0,False,True
Balakan district,district,2002,,,16354.0,13173.0,587.0,,14919.0,,,,,,,0.661080233034884,0.607916351781256,0,False,True
Barda district,district,2002,,,31345.0,23900.0,9916.0,,27878.0,,,,,,,0.6651972150098407,0.6132896396889234,0,False,True
Beylagan district,district,2002,,,19347.0,16816.0,17476.0,,24280.0,,,,,,,0.8194120600369303,0.7657189616970442,0,False,True
Bilasuvar district,district,2002,,,17080.0,13668.0,1494.0,,15933.0,,,,,,,0.6610298875867484,0.6116478358941555,0,False,True
Dashkasan district,district,2002,,,12226.0,11736.0,1.0,,17404.0,,,,,,,1.0000000000000004,0.9253379814016474,64,False,True
Fuzuli district,district,2002,,,7969.0,7114.0,2146.0,,7739.0,,,,,,,0.5685425494237927,0.5142815958831486,0,False,False
Gabala district,district,2002,,,24179.0,21519.0,639.0,,22794.0,,,,,,,0.6713053216941988,0.5905295722078663,0,False,True
Gakh district,district,2002,,,15566.0,12293.0,325.0,,19726.0,,,,,,,0.9999999999999997,0.932611397527267,0,False,True
Gazakh district,district,2002,,,12525.0,10516.0,1087.0,,13285.0,,,,,,,0.7001018482250662,0.6403180381645269,0,False,True
Gobustan district,district,2002,,,10858.0,10727.0,1115.0,,10737.0,,,,,,,0.5410008581647799,0.4881897957291862,0,False,True
Goranboy district,district,2002,,,14824.0,13150.0,1162.0,,14066.0,,,,,,,0.6032898445583242,0.5571151822550363,0,False,True
Goychay district,district,2002,,,21444.0,17228.0,667.0,,20518.0,,,,,,,0.7310289756602507,0.6794574189568133,0,False,True
Goygol district,district,2002,,,7801.0,7588.0,826.0,,7376.0,,,,,,,0.5081955610794261,0.4451587085385369,0,False,True
