region,dea_mean,sfa_mean,n_years,rank_group
Samukh district,0.613790027118608,0.8420093144834436,25,highest
Goygol district,0.5776907073058389,0.8518173097030801,25,highest
Gazakh district,0.5506245639376819,0.835569376368613,25,highest
Tovuz district,0.5484045467251565,0.8414750859842492,25,highest
Aghdam district,0.5303747518022062,0.8305094300103372,25,highest
Zangilan district,0.19686327789308267,0.5747216689966699,20,lowest
Sabirabad district,0.19840060082843322,0.8397703946941607,25,lowest
Masalli district,0.27512083753228755,0.797202863372949,22,lowest
Lerik district,0.3186423841876603,0.7068402264163717,25,lowest
Gobustan district,0.3322592531080623,0.8061476184657174,25,lowest
