region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw
Absheron district,district,2000,,,9021.0,9021.0,949.0,,11086.0,,,,,,,0.7311384771080617,0.6827989975555304,0.7027180792455047,0.6550599187131945,0,0,0.9338846455684663
Agdash district,district,2000,,,17338.0,11480.0,8419.0,,18468.0,,,,,,,0.8325529756614197,0.8320859720489995,0.8074129590879836,0.8130679533615335,0,0,0.9994390703942302
Aghdam district,district,2000,,,10977.0,10263.0,560.0,,10994.0,,,,,,,0.7184538390772994,0.6953070053682507,0.6911642066839636,0.6711564947030322,0,0,0.9677824343749407
Aghjabadi district,district,2000,,,33519.0,28218.0,12983.0,,40734.0,,,,,,,0.7898932602425126,0.7466568478366437,0.615446405378923,0.728586279824432,0,0,0.9452629683248664
Aghstafa district,district,2000,,,8824.0,7051.0,703.0,,8940.0,,,,,,,0.7615698177939813,0.7156520267387879,0.7338426191179969,0.6887015731169505,0,0,0.939706393317684
Aghsu district,district,2000,,,16817.0,12441.0,124.0,,15115.0,,,,,,,0.9327778408949676,0.9321956022835207,0.8622460265373848,0.8822168549910496,0,0,0.99937580141174
Babak district,district,2000,,,8572.0,7654.0,2179.0,,11680.0,,,,,,,0.7902470109568575,0.7893045520651517,0.7582467403458529,0.7663767516083858,0,0,0.9988073869579531
Balakan district,district,2000,,,16126.0,12947.0,6952.0,,14832.0,,,,,,,0.5930349805087921,0.592544254444798,0.5749784140176671,0.5785614045022962,0,0,0.9991725175071914
Barda district,district,2000,,,23960.0,17741.0,7195.0,,30311.0,,,,,,,0.8838353597905471,0.8837153348501187,0.8064934339516867,0.8616195736542831,0,0,0.999864199888476
Beylagan district,district,2000,,,16653.0,14268.0,10851.0,,19818.0,,,,,,,0.7187840436870444,0.7184341137977485,0.6957352980778215,0.7020425631975669,0,0,0.9995131640826347
Bilasuvar district,district,2000,,,16040.0,12869.0,1332.0,,13314.0,,,,,,,0.6190638135695169,0.5776093210249842,0.5912628912296622,0.5547871008368898,0,0,0.9330368022877861
Fuzuli district,district,2000,,,7139.0,6259.0,1554.0,,5926.0,,,,,,,0.49112234524551035,0.48971895960187156,0.46883513451791936,0.47404981512978406,0,0,0.9971424927877447
Gabala district,district,2000,,,22651.0,20175.0,308.0,,21280.0,,,,,,,0.8066703002399543,0.7874294037384926,0.6876366732458018,0.7471180478522624,0,0,0.9761477564058844
