region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,sfa_te_translog
Absheron district,district,2000,,,9021.0,9021.0,949.0,,11086.0,,,,,,,0.7739181780705232
Absheron district,district,2001,,,9258.0,9258.0,901.0,,12714.0,,,,,,,0.8010362228077533
Absheron district,district,2002,,,9694.0,9694.0,832.0,,14625.0,,,,,,,0.8214661549767417
Absheron district,district,2003,,,9922.0,9922.0,1151.0,,19424.0,,,,,,,0.8656436982125234
Absheron district,district,2004,,,10106.0,10106.0,1317.0,,20448.0,,,,,,,0.8698390717731759
Absheron district,district,2005,18.8,12.66,10120.0,10120.0,1128.0,47.9,25201.0,6.6,16.5,31.57,26.0,18.8,6.6,0.8951667029272997
Absheron district,district,2006,,,10132.0,10132.0,1003.0,,29714.0,,,,,,,0.9102791800595134
Absheron district,district,2007,,,10324.0,10324.0,731.0,,30241.0,,,,,,,0.9106230126812307
Absheron district,district,2008,19.34,10.2,10481.0,10481.0,796.0,48.1,30846.0,11.0,9.7,43.6,40.0,19.34,11.0,0.9108278209204446
Absheron district,district,2009,20.23,10.21,10535.0,10535.0,521.0,48.0,32280.0,32.7,6.8,39.29,38.12,20.23,32.7,0.9145007845516516
Absheron district,district,2010,8.35,10.41,11740.0,11740.0,522.0,48.0,32931.0,7.7,9.3,37.1,40.2,8.35,7.7,0.9071218322950471
Absheron district,district,2011,35.73,20.13,11972.0,11972.0,338.0,48.0,40807.0,7.6,9.5,49.3,39.2,35.73,7.6,0.9219729914633057
Absheron district,district,2012,38.0,20.12,12201.0,12201.0,351.0,48.0,40800.0,18.5,9.4,53.64,39.2,38.0,18.5,0.9206463731572302
Absheron district,district,2013,49.57,20.13,12133.0,12133.0,382.0,48.0,40955.0,2.6,9.5,58.1,39.2,49.57,2.6,0.9212044704136033
Absheron district,district,2014,46.46,20.75,12153.0,12153.0,463.0,48.0,40637.0,,9.5,59.3,39.21,46.46,9.5,0.9204016377411792
Absheron district,district,2015,46.92,20.65,13398.0,13398.0,101.0,48.0,42861.0,4.7,9.5,57.27,39.23,46.92,4.7,0.918115219808873
