region,t,t1,th_tt_bc,th_t1t1_bc,th_tt1_bc,th_t1t_bc
Absheron-Khizi economic region,2000,2001,0.9089303549217712,0.90981409957731,0.9678892172863962,0.8571928046801395
Central Aran economic region,2000,2001,0.991205596313622,0.982005379036875,0.9914950095229048,0.977348140836634
Daghlig Shirvan economic region,2000,2001,0.9194276674593144,0.7742308694491541,0.8203982524823523,0.8467212796586654
Eastern Zangazur economic region,2000,2001,0.9772213990249052,0.9351712223977297,0.9551238205602366,26.41775018415101
Ganja-Dashkasan economic region,2000,2001,0.9088221249606058,0.8669759470123438,0.9190152023254256,0.8607075869507115
Gazakh-Tovuz economic region,2000,2001,0.9523689798484544,0.9250011175948007,0.9592210490723548,0.9080331992551351
Guba-Khachmaz economic region,2000,2001,0.9754817352346944,0.9413001067481228,1.0423962817169086,0.9312272370234712
Karabakh economic region,2000,2001,0.974811503938909,0.9646059531033392,0.9646555276076166,0.9621051118414624
Lankaran-Astara economic region,2000,2001,0.9726590509333136,0.9630698977332586,0.9641552219222423,2.131133330726228
Mil-Mughan economic region,2000,2001,0.9837712142870888,0.9358257117719156,0.9312954462774872,0.9884638396804736
Nakhchivan Autonomous Republic,2000,2001,0.9754805361721596,0.9340927485523696,0.956679737450886,0.9521235213445568
Shaki-Zagatala economic region,2000,2001,0.9673573162111206,0.9105054235098468,0.9679347704227156,0.9230056038364104
Shirvan-Salyan economic region,2000,2001,0.946947772431676,0.8655280123503746,0.8903282315772947,0.9234595658639224
Absheron-Khizi economic region,2001,2002,0.9081357681782104,0.9832117042612408,0.9611068435596628,0.9167086846450612
Central Aran economic region,2001,2002,0.9814681811168092,0.991341733399694,0.986246078216467,0.9896105662750914
Daghlig Shirvan economic region,2001,2002,0.7724639714336213,0.8344416461225126,0.7610864586159095,0.7772074692673785
Eastern Zangazur economic region,2001,2002,0.9397339715218076,0.9845298941887246,0.9452649743854912,0.990959157846961
Ganja-Dashkasan economic region,2001,2002,0.8651794622553188,0.9012560289725048,0.8938110723849487,0.870616768935617
Gazakh-Tovuz economic region,2001,2002,0.923226892782194,0.8912980746181696,0.8827508111455233,0.931778167538542
Guba-Khachmaz economic region,2001,2002,0.9366590266195178,0.989318189413527,0.8910763348316939,1.0465788694905962
Karabakh economic region,2001,2002,0.9636728513620094,0.9070206506185368,0.8999458269821841,0.9688415377019703
Lankaran-Astara economic region,2001,2002,0.9641328959040576,0.9845303351692164,7.556779322809868,0.9983915947479352
Mil-Mughan economic region,2001,2002,0.9353074018671272,0.9321828433806918,0.9249206052313204,0.9427134478306264
Nakhchivan Autonomous Republic,2001,2002,0.9336727653952342,0.9779412847174708,0.9698941403518644,0.9413752206265598
Shaki-Zagatala economic region,2001,2002,0.9087582352875244,0.9903925753836856,0.9848308698211834,0.9168647846966752
Shirvan-Salyan economic region,2001,2002,0.8642941942850544,0.8955374531375255,0.8877997064448737,0.8719336205793853
Absheron-Khizi economic region,2002,2003,0.9804838438195036,0.8704769032900901,1.2267105316160634,0.7810964053679337
Central Aran economic region,2002,2003,0.9911730672134252,0.7972513125099606,0.9807163387388388,0.8047989686862815
Daghlig Shirvan economic region,2002,2003,0.8337392555337528,0.7744288817038343,0.9115365737233028,0.7085650610090648
Eastern Zangazur economic region,2002,2003,0.9866965375436814,0.8160038100983815,0.9364473596705356,0.7965835925097133
Ganja-Dashkasan economic region,2002,2003,0.9004929669417083,0.6391914333790243,0.8377901438079651,0.6734319442443826
Gazakh-Tovuz economic region,2002,2003,0.8908740694250133,0.6779278625295215,0.8972128512097806,0.6871471302286156
Guba-Khachmaz economic region,2002,2003,0.9889658165964604,0.9056262252930564,1.036307971808926,0.8659351310301253
Karabakh economic region,2002,2003,0.9062846806603088,0.7505741783331831,0.9217672653915276,0.7360115438408497
Lankaran-Astara economic region,2002,2003,0.9796613638247432,0.7636218791541911,0.9932670660935236,8.666089348121957
Mil-Mughan economic region,2002,2003,0.9318176432048972,0.737430775512451,0.9056260779836312,0.75768354113397
Nakhchivan Autonomous Republic,2002,2003,0.978154306227564,0.7405338181900543,0.9371220251830692,0.7764787119561771
Shaki-Zagatala economic region,2002,2003,0.9885408175660196,0.7392344497944907,0.9955080809862124,0.7041329975123023
Shirvan-Salyan economic region,2002,2003,0.8955850848213076,0.6778306477376457,0.845160480895816,0.7073734116792643
Absheron-Khizi economic region,2003,2004,0.8772191570835677,0.8695753496680607,0.9077898555082976,0.8959039158526831
Central Aran economic region,2003,2004,0.7972843841586003,0.7007707639894547,0.7059751549649101,0.7904726753188995
Daghlig Shirvan economic region,2003,2004,0.7719546528480383,0.8216104299343807,0.7827877987355145,0.8086463219558506
Eastern Zangazur economic region,2003,2004,0.8112693412361682,0.790506816725526,0.7554877052585431,0.8285633569032858
Ganja-Dashkasan economic region,2003,2004,0.6454038056137495,0.6734382563871135,0.6839337312102489,0.6261568124759939
Gazakh-Tovuz economic region,2003,2004,0.6823143387060581,0.7070102578952755,0.7252906404091182,0.6640310816376179
Guba-Khachmaz economic region,2003,2004,0.8950406138496196,0.9182994073201936,0.874943210618905,0.932777691078584
Karabakh economic region,2003,2004,0.7496038455045901,0.7853012295892611,0.7900179599994701,0.745128403890951
Lankaran-Astara economic region,2003,2004,0.7666899922809303,0.7630144503298513,0.7355077157892793,1.45696727052837
Mil-Mughan economic region,2003,2004,0.7364774343092042,0.7583612523743286,0.7639166893035881,0.732080362740297
Nakhchivan Autonomous Republic,2003,2004,0.7413526410712302,0.7497957373217016,0.7587891368501283,0.7320995757277386
Shaki-Zagatala economic region,2003,2004,0.7447095709040068,0.741552808739306,0.7606468398414645,0.7195386092755607
Shirvan-Salyan economic region,2003,2004,0.6773150182762312,0.6748048127762137,0.6823854481732672,0.6693385135161614
Absheron-Khizi economic region,2004,2005,0.8768804099525451,0.7726377893581975,1.1172430398057385,0.6833530550025817
Central Aran economic region,2004,2005,0.699628769503704,0.5684811883965,0.7100484760151051,0.5587494277719436
Daghlig Shirvan economic region,2004,2005,0.8318439230009669,0.539096249389377,0.7271664669170146,0.6334293799222246
Eastern Zangazur economic region,2004,2005,0.7967063212578425,0.4120214110179867,0.5311261947773678,0.6122185973120154
Ganja-Dashkasan economic region,2004,2005,0.6753753752036981,0.5775194616089365,0.7358012239618383,0.5263669941482172
Gazakh-Tovuz economic region,2004,2005,0.710299507190824,0.4988904673132273,0.6373407525067218,0.5453249397045292
Guba-Khachmaz economic region,2004,2005,0.9296908505096428,0.7116803471186901,0.9298817826209718,0.7082667971518504
Karabakh economic region,2004,2005,0.7837994374673578,0.6473118749217776,0.8095737155568348,0.6267035029424792
Lankaran-Astara economic region,2004,2005,0.7750043187933302,0.5147077309338952,0.7972216637077523,0.5069575057097022
Mil-Mughan economic region,2004,2005,0.7574047346054541,0.603896286224826,0.7548320669602915,0.6061268008922331
Nakhchivan Autonomous Republic,2004,2005,0.750473266095583,0.5881341379208109,0.7417577028505931,0.5952822732497782
Shaki-Zagatala economic region,2004,2005,0.745038751975881,0.5601998193614488,0.7279383697166201,0.5722153827722096
Shirvan-Salyan economic region,2004,2005,0.6755492250089963,0.5159168791099975,0.6511689457868053,0.5377249866149714
Absheron-Khizi economic region,2005,2006,0.7707515928825586,0.645141219599144,0.9851794627482996,0.5790593458124342
Central Aran economic region,2005,2006,0.5706948824357929,0.4809346093336319,0.5818460366370986,0.4720116837927082
Daghlig Shirvan economic region,2005,2006,0.5322436112304149,0.3437006598116499,0.4933894174862356,0.3673407506593829
Eastern Zangazur economic region,2005,2006,0.4165552121611013,0.359663286516775,0.4691159907632932,0.3144392550096125
Ganja-Dashkasan economic region,2005,2006,0.5731207110605084,0.4931248965797468,0.6017660942315017,0.455618489325073
Gazakh-Tovuz economic region,2005,2006,0.4879388315261813,0.4252933584881424,0.5366650960645518,0.3711585584948864
Guba-Khachmaz economic region,2005,2006,0.712143874948217,0.4911337646284146,0.6569135841579148,0.5311802816934412
Karabakh economic region,2005,2006,0.6522299431098199,0.5337808348146729,0.6443939242366548,0.5388488754975291
Lankaran-Astara economic region,2005,2006,0.5910980014383347,0.3518574647641384,0.5935137125400749,0.5350152432704185
Mil-Mughan economic region,2005,2006,0.6053559117399842,0.5049852018909736,0.6111579379512104,0.5021100943657045
Nakhchivan Autonomous Republic,2005,2006,0.5841342913713247,0.45613238721699,0.5626057252086618,0.475149794451964
Shaki-Zagatala economic region,2005,2006,0.5547349467502263,0.4443242338375965,0.5604636849946865,0.4326189136272562
Shirvan-Salyan economic region,2005,2006,0.5165860218544525,0.4338395626079484,0.525596150887222,0.4270834194686255
Absheron-Khizi economic region,2006,2007,0.6794554126028012,0.6298211521280677,0.7821724357316175,0.7467209263417676
Central Aran economic region,2006,2007,0.4856907425960572,0.5203769758033585,0.4932402372289011,0.5119651511477334
Daghlig Shirvan economic region,2006,2007,0.3617400614962049,0.4676371484525948,0.5156895380367938,0.399265560035176
Eastern Zangazur economic region,2006,2007,0.3580431376239528,0.2803508072284294,0.2551402705042497,0.3144754382919963
Ganja-Dashkasan economic region,2006,2007,0.4975357203241426,0.5702576458002051,0.5396647089251985,0.5318365899776094
Gazakh-Tovuz economic region,2006,2007,0.4331868472588775,0.4958835922860596,0.4586366315536408,0.4650215992670925
Guba-Khachmaz economic region,2006,2007,0.4980676889451496,0.4778351020145666,0.4329148869346547,0.4122897436377579
Karabakh economic region,2006,2007,0.5379520342595703,0.5577686081758,0.5258565165677237,0.5684459124964792
Lankaran-Astara economic region,2006,2007,0.3044596203779843,0.3591506051835473,0.3461570504019269,0.3852228769942689
Mil-Mughan economic region,2006,2007,0.5099791800101074,0.5399647977803983,0.5110036951753456,0.537706736686412
Nakhchivan Autonomous Republic,2006,2007,0.4597004675894778,0.5117518807037732,0.4736913894812269,0.4967199264734847
Shaki-Zagatala economic region,2006,2007,0.4524480021261037,0.4997594609213454,0.4640845607496673,0.4859081982312299
Shirvan-Salyan economic region,2006,2007,0.438341119304552,0.4679698710713031,0.4443826234659759,0.4633324098941682
Absheron-Khizi economic region,2007,2008,0.6436838372459128,0.642441529991302,0.6837968071881064,0.694498168077808
Central Aran economic region,2007,2008,0.5197753002760814,0.5128177170463771,0.5176497496377928,0.5148330365365483
Daghlig Shirvan economic region,2007,2008,0.4805369964361321,0.5123091147110577,0.4967898416409286,0.501436851919994
Eastern Zangazur economic region,2007,2008,0.2827257869464777,0.2801355220998868,0.300863874647393,0.2642849673094767
Ganja-Dashkasan economic region,2007,2008,0.5716677067692011,0.5635919240921622,0.5669487026335531,0.564126477953103
Gazakh-Tovuz economic region,2007,2008,0.4953293601089092,0.5036767640120027,0.5061771491810925,0.4753408941110717
Guba-Khachmaz economic region,2007,2008,0.4824686759391861,0.4693234372101342,0.488738578975915,0.4465874219129241
Karabakh economic region,2007,2008,0.5567535416163785,0.5498441946920567,0.5529935051592311,0.5525746942570926
Lankaran-Astara economic region,2007,2008,0.3802030138689818,0.3485398382548095,0.3776752836530237,0.3878144433136063
Mil-Mughan economic region,2007,2008,0.5392909755238865,0.5415786112616281,0.5456536372024573,0.5340655934993432
Nakhchivan Autonomous Republic,2007,2008,0.5107507416995315,0.5021153222793915,0.517449455816908,0.4900094646994128
Shaki-Zagatala economic region,2007,2008,0.4991785444231362,0.5078345142990605,0.5233431176402582,0.4736010198985867
Shirvan-Salyan economic region,2007,2008,0.4689760610260196,0.4637406454100039,0.4681978967857596,0.4647497235690853
Absheron-Khizi economic region,2008,2009,0.6665786544450973,0.5658814924449516,1.0002973719056545,0.653109667257253
Central Aran economic region,2008,2009,0.5123737539919089,0.4844858596735631,0.5031623353247193,0.4927790089398364
Daghlig Shirvan economic region,2008,2009,0.5244801094901974,0.30808022730666,0.5061924406950744,0.3032296633937646
Eastern Zangazur economic region,2008,2009,0.2952671276401255,0.320662417632475,0.3343260476297588,0.2748039453331514
Ganja-Dashkasan economic region,2008,2009,0.5591694054239922,0.5579035057974578,0.583587741488089,0.5285303791742431
Gazakh-Tovuz economic region,2008,2009,0.4994536128283338,0.4811180308755829,0.5088631989055006,0.4719473845128747
Guba-Khachmaz economic region,2008,2009,0.4776381339758457,0.4717760527267201,0.4893250488867831,0.4581655082230964
Karabakh economic region,2008,2009,0.549000856337556,0.5307415207068567,0.5505091750620417,0.528252962636061
Lankaran-Astara economic region,2008,2009,0.3626295695727464,0.6867152913458261,0.4297687650773789,1.1447945300531202
Mil-Mughan economic region,2008,2009,0.5412680562790182,0.5506608385174325,0.5724501563013156,0.5206656308019626
Nakhchivan Autonomous Republic,2008,2009,0.5068570957478159,0.4792245961616946,0.5004815179090656,0.4806586834876254
Shaki-Zagatala economic region,2008,2009,0.5126325861685792,0.4810568309861699,0.5084544119579413,0.4861335254834626
Shirvan-Salyan economic region,2008,2009,0.4631490379025178,0.4745310823614839,0.4941377015715267,0.4449404219974652
Absheron-Khizi economic region,2009,2010,0.5516135169662784,0.5098276183482442,0.6556199645918062,1.1515449318095143
