region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw,cost_milk,profitability,cattle_per1000,fodder_per100
Absheron district,district,2005,18.8,12.66,10120.0,10120.0,1128.0,47.9,25201.0,6.6,16.5,31.57,26.0,0.9999999999999992,1.0000000000000002,0.7115550760190357,0.8623047161990167,0,0,1.0000000000000009,18.8,6.6,10.12,11.28
Agdash district,district,2005,19.2,15.06,29979.0,19123.0,11802.0,47.6,26912.0,46.0,56.9,27.73,26.67,0.599511355579407,0.5651356276523001,0.5346255253599382,0.5419948726516532,0,0,0.9426604223469895,19.2,46.0,19.123,118.02
Aghstafa district,district,2005,8.59,,10421.0,8326.0,900.0,49.8,10512.0,23.1,,10.58,,0.5700484921461236,0.512127305714809,0.5159063704827537,0.4439000144988624,0,0,0.898392527601902,8.59,23.1,8.326,9.0
Aghsu district,district,2005,11.74,12.44,17731.0,13271.0,1520.0,51.5,22724.0,70.4,,20.0,,0.6903872169747383,0.6876126686673113,0.5476510327283463,0.5961251580610919,0,0,0.9959811707992148,11.74,70.4,13.271,15.2
Balakan district,district,2005,26.23,,16976.0,13458.0,935.0,46.4,13964.0,1.4,,30.27,,0.4786608108793193,0.4760475008534642,0.4180577161030937,0.4218810298757317,0,0,0.9945403718740744,26.23,1.4,13.458,9.35
Beylagan district,district,2005,9.71,6.27,22638.0,20070.0,19538.0,47.6,22725.0,3.0,91.6,10.0,12.02,0.4562014920652786,0.4546940357374245,0.4185863479894908,0.4366378531173429,0,0,0.9966956348147182,9.71,3.0,20.07,195.38
Bilasuvar district,district,2005,,15.21,18121.0,15109.0,3846.0,,14535.0,,7.5,,17.2,0.3949413862221838,0.3863154284164488,0.3675337013566385,0.3605815226360331,0,0,0.9781588911502878,15.21,7.5,15.109,38.46
Gabala district,district,2005,9.77,8.46,24934.0,22753.0,1000.0,50.0,24503.0,0.1,1.6,25.25,20.42,0.5809916059870553,0.5409490112818436,0.4759259103852939,0.4665813722536722,0,0,0.9310788756798254,9.77,0.1,22.753,10.0
Gakh district,district,2005,20.22,22.54,12567.0,10282.0,482.0,47.6,9215.0,9.2,,22.07,,0.462695524632119,0.4453424259546736,0.3790796133953552,0.3869679155689987,0,0,0.962495641834352,20.22,9.2,10.282,4.82
Gazakh district,district,2005,18.0,9.34,13426.0,11406.0,1649.0,47.3,16500.0,33.3,63.6,24.0,19.63,0.5902372859044236,0.5809159690126104,0.5175394463309244,0.5180596089361392,0,0,0.9842075092265138,18.0,33.3,11.406,16.49
Gobustan district,district,2005,,9.0,11011.0,10900.0,1212.0,,12760.0,,17.6,,20.0,0.5090322446263895,0.4704734554056231,0.4611364353312547,0.4058945766190279,0,0,0.9242507923067484,9.0,17.6,10.9,12.12
Goranboy district,district,2005,23.35,,16907.0,15442.0,3058.0,50.0,14645.0,42.9,,32.79,,0.3891981703629177,0.3808452699279788,0.3558756763866925,0.3497103358866706,0,0,0.978538181648824,23.35,42.9,15.442,30.58
Goychay district,district,2005,12.37,,22759.0,18185.0,2137.0,49.8,22235.0,88.3,,30.13,,0.4929987003769576,0.4910057370252654,0.3966127425219415,0.4275050587825352,0,0,0.9959574673317224,12.37,88.3,18.185,21.37
Goygol district,district,2005,16.12,,9314.0,9139.0,997.0,51.0,14471.0,18.8,,22.07,,0.6783701489169782,0.6403693013535832,0.6063770625447288,0.5543478699666086,0,0,0.9439821347916568,16.12,18.8,9.139,9.97
Guba district,district,2005,25.53,,26439.0,25922.0,178.0,49.7,34450.0,-22.4,,19.82,,0.9999999999999994,0.9784850541697172,0.4168589404599663,0.7133588187368944,0,0,0.9784850541697178,25.53,-22.4,25.922,1.78
Gusar district,district,2005,21.69,,17564.0,17442.0,113.0,47.2,22258.0,-21.7,,16.28,,1.0000000000000009,0.9958471093816348,0.6004674964223895,0.7343155383506035,0,0,0.9958471093816342,21.69,-21.7,17.442,1.13
Hajigabul district,district,2005,,10.0,13197.0,11858.0,1050.0,,12480.0,,96.0,,26.0,0.4773431192125675,0.4535066526878068,0.4317444521173998,0.3998266052884975,0,0,0.9500642921928324,10.0,96.0,11.858,10.5
Imishli district,district,2005,17.57,17.38,33885.0,28575.0,11019.0,46.4,28438.0,13.6,15.1,20.0,20.0,0.4431686268192205,0.3996460721763772,0.3951667739860895,0.3805544389129026,0,0,0.9017923381552974,17.57,13.6,28.575,110.19
Ismayilli district,district,2005,20.05,16.48,24735.0,23397.0,1323.0,44.5,23106.0,-6.5,12.4,19.78,18.5,0.4988265061675661,0.4738870949372452,0.4170797865423614,0.4171958273508599,0,0,0.9500038371618864,20.05,-6.5,23.397,13.23
Kalbajar district,district,2005,,28.57,7121.0,6841.0,52.0,,5264.0,,37.0,,39.15,0.7499999999999949,0.5117967332123429,0.4701832286552931,0.3523258359601033,0,0,0.6823956442831285,28.57,37.0,6.841,0.52
Khachmaz district,district,2005,17.48,11.24,25772.0,24102.0,2978.0,47.9,34270.0,7.0,78.0,18.07,20.0,0.7497454568901726,0.5709837656712936,0.589022722696127,0.5003541341912555,0,0,0.761570157476706,17.48,7.0,24.102,29.78
Khojavand district,district,2005,,8.26,1688.0,1678.0,254.0,,1858.0,,66.7,,20.0,1.0000000000000002,0.4446481516261225,0.6380447887070466,0.3983812758271434,0,0,0.4446481516261224,8.26,66.7,1.678,2.54
Kurdamir district,district,2005,12.03,13.0,28773.0,21791.0,10331.0,49.0,23071.0,39.4,38.5,16.45,18.0,0.4263539905435865,0.4251596067165673,0.3857966471710137,0.4068879042218006,0,0,0.9971986099496888,12.03,39.4,21.791,103.31
Lachin district,district,2005,,15.44,11301.0,9036.0,477.0,47.6,5045.0,2.2,7.4,22.45,18.0,0.3404962282927463,0.2715351302480985,0.2452878273661968,0.238185268441801,0,0,0.7974688342645677,15.44,2.2,9.036,4.77
Lerik district,district,2005,25.0,14.0,16254.0,15892.0,519.0,45.8,13745.0,11.7,14.6,28.0,16.04,0.4735425639722136,0.4534809647768842,0.3958018674624637,0.3762263181637825,0,0,0.957635066577655,25.0,11.7,15.892,5.19
Masalli district,district,2005,21.0,8.71,30607.0,28957.0,315.0,47.9,43524.0,10.9,50.0,14.83,18.46,1.0,0.8607936021665837,0.1913765931320747,0.5799675596907765,1,0,0.8607936021665837,21.0,10.9,28.957,3.15
Neftchala district,district,2005,23.88,23.99,18431.0,16486.0,5805.0,50.0,18736.0,-33.0,-29.2,16.29,17.0,0.4611693563382486,0.4563776002314674,0.4270519085049356,0.433139654213074,0,0,0.9896095522373204,23.88,-33.0,16.486,58.05
Oghuz district,district,2005,22.68,22.36,12565.0,10595.0,748.0,45.7,15476.0,39.0,36.3,31.52,31.88,0.6708157241841262,0.6676136320534174,0.5808120677524736,0.5917527306284478,0,0,0.9952265696594944,22.68,39.0,10.595,7.48
Saatli district,district,2005,11.0,,27036.0,23956.0,7306.0,50.0,31540.0,50.0,,18.0,,0.6303643271663033,0.5287009889147127,0.554565086988056,0.4986197995993895,0,0,0.8387228879073774,11.0,50.0,23.956,73.06
Sabirabad district,district,2005,16.02,14.22,44757.0,36441.0,8550.0,50.0,58698.0,4.2,19.4,17.0,17.0,1.0000000000000029,0.6468383429138835,0.2132297140631911,0.6006903380588564,0,0,0.6468383429138818,16.02,4.2,36.441,85.5
Salyan district,district,2005,19.3,11.29,28555.0,26382.0,11888.0,47.8,32994.0,71.6,24.0,32.67,14.0,0.6157046511363119,0.5022153611143342,0.55224853781036,0.4802260753901167,0,0,0.8156757630261069,19.3,71.6,26.382,118.88
Samukh district,district,2005,9.7,14.0,8530.0,7416.0,2960.0,45.5,11094.0,20.8,18.0,18.12,17.71,0.6239763315039778,0.6007325696866448,0.5847181139330607,0.5726616306648,0,0,0.962748968760869,9.7,20.8,7.416,29.6
Shabran district,district,2005,14.0,,10239.0,9154.0,66.0,48.2,10819.0,-15.0,35.3,11.96,18.93,0.8302767776777643,0.828758809248827,0.522600139224914,0.5911667700300667,0,0,0.9981717320419548,14.0,-15.0,9.154,0.66
Shaki district,district,2005,28.48,12.8,30668.0,24116.0,1857.0,46.7,35733.0,19.9,43.1,34.38,18.32,0.8349945764716187,0.6628710735774084,0.5951380802646806,0.5868277793795524,0,0,0.7938627294783863,28.48,19.9,24.116,18.57
Shamkir district,district,2005,16.0,,26303.0,25389.0,5093.0,47.9,33425.0,20.0,,19.2,,0.6531248878652163,0.5286747377115014,0.537185760989602,0.4859601693256495,0,0,0.8094542828393988,16.0,20.0,25.389,50.93
Siyazan district,district,2005,28.65,12.56,4974.0,4458.0,39.0,47.0,7714.0,3.4,48.9,30.0,22.34,1.0000000000000004,1.0,0.425800440469217,0.5928281530054442,0,0,0.9999999999999996,28.65,3.4,4.458,0.39
Tartar district,district,2005,20.71,,9873.0,9537.0,4038.0,46.8,10430.0,-8.2,,30.0,,0.458097788795523,0.4391726276217868,0.4285323186439899,0.4193462021971187,0,0,0.95868750813337,20.71,-8.2,9.537,40.38
Tovuz district,district,2005,16.03,,15986.0,15340.0,205.0,47.0,22830.0,87.2,,30.0,,0.948039073393675,0.8434415499842207,0.6931126137544596,0.6057505419700766,0,0,0.8896696071449579,16.03,87.2,15.34,2.05
Yevlakh district,district,2005,30.94,12.29,36504.0,22696.0,8807.0,51.1,26612.0,61.6,81.4,50.0,31.71,0.4947446287757769,0.4708590587649914,0.4343939722107267,0.448460040942083,0,0,0.951721416218526,30.94,61.6,22.696,88.07
Zagatala district,district,2005,16.0,18.0,27613.0,22667.0,6546.0,49.8,36862.0,37.5,,22.0,,0.850703033546677,0.653051736067429,0.6974227956351113,0.614251698407476,0,0,0.7676612287895372,16.0,37.5,22.667,65.46
Zardab district,district,2005,20.0,10.88,21963.0,18205.0,10939.0,50.0,20810.0,,47.2,,20.0,0.4619804711506516,0.4590332398213229,0.4287182510867821,0.4401863983815636,0,0,0.993620441742942,20.0,47.2,18.205,109.39
Absheron district,district,2008,19.34,10.2,10481.0,10481.0,796.0,48.1,30846.0,11.0,9.7,43.6,40.0,0.9999999999999996,1.0000000000000002,0.295122933522338,0.7410693449513415,0,0,1.0000000000000009,19.34,11.0,10.481,7.96
Agdash district,district,2008,12.07,12.81,33746.0,22492.0,11035.0,47.9,30285.0,113.6,130.0,25.87,30.0,0.4575775617343145,0.4575129273740759,0.3637431558864598,0.4358738859295741,0,0,0.9998587466570836,12.07,113.6,22.492,110.35
Aghdam district,district,2008,18.07,,14347.0,13901.0,6447.0,48.2,25649.0,22.2,,22.0,,0.6279120960906233,0.6269432933882554,0.5550596245439184,0.5959068008493806,0,0,0.9984571045718028,18.07,22.2,13.901,64.47
Aghjabadi district,district,2008,15.63,,39992.0,33610.0,29854.0,46.9,48040.0,40.0,,21.88,,0.7369094820727625,0.4856667292285304,0.4266590013926732,0.4673224800905865,0,0,0.6590588682105948,15.63,40.0,33.61,298.54
Aghsu district,district,2008,25.4,16.35,18368.0,14015.0,592.0,46.0,23347.0,87.5,100.0,56.6,40.0,0.7401242187827316,0.7234713070714179,0.5509691591718621,0.6057667763475839,0,0,0.9774998422039176,25.4,87.5,14.015,5.92
Astara district,district,2008,22.15,18.0,22521.0,22049.0,395.0,41.5,18620.0,3.3,0.2,35.34,18.03,0.4829174681477906,0.458862988521851,0.3741859268379729,0.3710036385676377,0,0,0.9501892534179814,22.15,3.3,22.049,3.95
Balakan district,district,2008,24.16,,17368.0,13925.0,1769.0,42.0,14107.0,32.1,,46.19,,0.3473407650026427,0.3442257296948949,0.3026073943567363,0.2934284146027831,0,0,0.991031760099555,24.16,32.1,13.925,17.69
Beylagan district,district,2008,46.93,6.59,25307.0,23526.0,27501.0,48.2,26733.0,-56.8,200.0,20.0,20.0,0.3865563063239955,0.3861032634696084,0.3406516824533347,0.3716865756857627,0,0,0.9988280029403858,46.93,-56.8,23.526,275.01
Bilasuvar district,district,2008,,37.53,19166.0,16557.0,7267.0,,14623.0,,43.2,,53.0,0.3026340479803877,0.3000949574400726,0.2857943752587727,0.2845815728901607,0,0,0.991610030142809,37.53,43.2,16.557,72.67
Dashkasan district,district,2008,18.05,20.0,13002.0,12777.0,75.0,47.4,19025.0,67.5,24.3,50.38,31.08,1.0,1.0,0.5646655705986101,0.6272800068426219,0,0,1.0,18.05,67.5,12.777,0.75
Fuzuli district,district,2008,21.25,,13702.0,12729.0,6500.0,50.0,6420.0,20.0,,30.0,,0.1763465083757419,0.1713738716364154,0.1669174627302454,0.1635209387114337,0,0,0.9718018985171436,21.25,20.0,12.729,65.0
Gabala district,district,2008,19.2,19.0,25730.0,23891.0,1569.0,47.5,25473.0,6.5,41.7,20.0,34.0,0.3889587097045761,0.388021348483287,0.2506963173947155,0.3062589001123723,0,0,0.9975900752498869,19.2,6.5,23.891,15.69
Gakh district,district,2008,26.34,37.31,13376.0,11231.0,2464.0,47.9,9636.0,64.3,52.4,44.15,60.0,0.296423166966841,0.2915293140871138,0.2758221102231118,0.2653315306157343,0,0,0.9834903157880552,26.34,64.3,11.231,24.64
Gazakh district,district,2008,21.03,20.06,15320.0,13146.0,6832.0,47.9,17282.0,45.9,45.8,35.06,35.0,0.4493617151616988,0.4466879527029991,0.4225581533434762,0.4264864944563826,0,0,0.9940498659131708,21.03,45.9,13.146,68.32
Gobustan district,district,2008,,24.71,11085.0,10972.0,18.0,,14040.0,,42.9,,35.29,1.0000000000000004,1.0,0.2050105256133612,0.1845530826532651,0,3,0.9999999999999994,24.71,42.9,10.972,0.18
Goranboy district,district,2008,18.18,,20075.0,18699.0,5767.0,47.7,15740.0,38.5,,36.0,,0.2881093603132172,0.2860159239346845,0.26763022724914,0.2664363455369711,0,0,0.9927338827997229,18.18,38.5,18.699,57.67
